archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Aatrox/Kayn (RU/RU),Azir/Xerath (SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0042857685875019,0.00480842329329482
Hecarim/Zed (IO/SI),Darius (FR/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00498897673711419,0.00344001824540064
Malphite/Taliyah (MT/SH),Rumble/Vayne (DE/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00227117226699103,0.00402919264102174
Aurelion Sol/Zoe (FR/MT),Annie/Jhin (RU/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000950281283259845,0.0190531397293599
Norra/Veigar (BC/SI),Illaoi/Jarvan IV (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0203075110232629,0.00232818914398662
Malphite/Taliyah (MT/SH),Norra/Veigar (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00227117226699103,0.0203075110232629
Aphelios/Master Yi (IO/MT),Teemo/Tristana (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00142542192488977,0.0564372054128022
Norra/Swain (BC/NX),Seraphine/Twisted Fate (BW/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0173426334194922,0.00283183822411434
Seraphine/Twisted Fate (BW/PZ),Annie/Ezreal (NX/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00283183822411434,0.0246312908620952
Trundle/Tryndamere (FR/SI),Illaoi/Jarvan IV (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0184449597080736,0.00232818914398662
Annie/Twisted Fate (BW/NX),Seraphine/Viktor (BC/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00441880796715828,0.00289835791394253
Lissandra/Trundle (FR/IO),Illaoi/Twisted Fate (BW/IO),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00207161319750646,0.0131043788961533
Karma/Master Yi (IO/SI),Norra/Twisted Fate (BC/BW),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00161547818154174,0.016943515280523
