mu_win,mu_n,ci,ok_ci,archetype_1,archetype_2,mu_wr,direction,mirror,playrate_1,playrate_2
0,2,(0.0% - 84.2%),FALSE,Gwen/Katarina (NX/SI),Kalista/Sion (NX/SI),0,NEG,No,0.0341884886348531,0.000332314236341885
0,2,(0.0% - 84.2%),FALSE,Elise/Nocturne (NX/SI),Ekko/Jinx (PZ/SH),0,NEG,No,0.00428020736408348,0.00800212681111259
0,2,(0.0% - 84.2%),FALSE,Braum/Galio (DE/FR),Illaoi/Twisted Fate (BW/IO),0,NEG,No,0.000372191944702911,0.038003456068058
0,2,(0.0% - 84.2%),FALSE,Pyke/Rek'Sai (BW/SH),Aphelios/Seraphine (MT/PZ),0,NEG,No,0.0261198989764722,0.00239266250166157
0,2,(0.0% - 84.2%),FALSE,Ezreal/Karma (IO/PZ),Kayle/Zed (IO/MT),0,NEG,No,0.000797554167220524,0.0260002658513891
0,2,(0.0% - 84.2%),FALSE,Gangplank/Sejuani (BW/FR),Seraphine/Viktor (BW/PZ),0,NEG,No,0.0184766715406088,0.000957065000664629
0,2,(0.0% - 84.2%),FALSE,Hecarim/Zed (IO/SI),Ezreal/Karma (IO/PZ),0,NEG,No,0.0131330586202313,0.000797554167220524
0,2,(0.0% - 84.2%),FALSE,Elise/Nocturne (NX/SI),Annie/Jhin (RU/NX),0,NEG,No,0.00428020736408348,0.0197527582081616
0,2,(0.0% - 84.2%),FALSE,Garen/Jarvan IV (DE),Draven/Fizz (BW/NX),0,NEG,No,0.00727103549116044,0.000252558819619833
0,2,(0.0% - 84.2%),FALSE,Miss Fortune/Twisted Fate (BW/NX),Aphelios/Master Yi/Zoe (IO/MT),0,NEG,No,0.044144623155656,0.00124950152864549
0,2,(0.0% - 84.2%),FALSE,Garen/Jarvan IV (DE),Ryze (RU/SH),0,NEG,No,0.00727103549116044,0.000518410208693341
0,2,(0.0% - 84.2%),FALSE,Ryze (RU/SH),Illaoi/Twisted Fate (BW/IO),0,NEG,No,0.000518410208693341,0.038003456068058
0,2,(0.0% - 84.2%),FALSE,Illaoi/Twisted Fate (BW/IO),Braum/Ornn/Trundle (FR/PZ),0,NEG,No,0.038003456068058,0.000279143958527183
0,2,(0.0% - 84.2%),FALSE,Braum/Vladimir (FR/NX),Norra/Viego (BC/SI),0,NEG,No,0.000797554167220524,0.020350923833577
0,2,(0.0% - 84.2%),FALSE,Malphite/Taliyah (MT/SH),Elise (NX/SI),0,NEG,No,0.00261863618237405,0.0017280340289778
0,2,(0.0% - 84.2%),FALSE,Elise/Nocturne (NX/SI),Gwen (NX/SI),0,NEG,No,0.00428020736408348,0.000146218263990429
0,2,(0.0% - 84.2%),FALSE,Kindred (SI/SH),Jax/Ornn (FR/RU),0,NEG,No,0.000398777083610262,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Illaoi/Ornn (BW/FR),Katarina/Leona (MT/NX),0,NEG,No,0.00148876777881164,0.0171872923036023
0,2,(0.0% - 84.2%),FALSE,Trundle (FR/PZ),Illaoi/Ornn (BW/FR),0,NEG,No,0.00607470424032966,0.00148876777881164
0,2,(0.0% - 84.2%),FALSE,Hecarim/Zed (IO/SI),Heimerdinger/Norra (BC/FR),0,NEG,No,0.0131330586202313,0.000132925694536754
0,2,(0.0% - 84.2%),FALSE,Ezreal/Kennen (IO/PZ),Jax/Ornn (FR/RU),0,NEG,No,0.000412069653063937,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Seraphine/Viktor (BW/PZ),Anivia (FR/SI),0,NEG,No,0.000957065000664629,0.0143692675794231
0,2,(0.0% - 84.2%),FALSE,Trundle/Tryndamere (FR/SI),Championless (DE/SI),0,NEG,No,0.017732287651203,0.00031902166688821
0,2,(0.0% - 84.2%),FALSE,Jax/Master Yi (IO/RU),Kayle/Zed (IO/MT),0,NEG,No,0.000212681111258806,0.0260002658513891
0,2,(0.0% - 84.2%),FALSE,Karma/Seraphine/Viktor (IO/PZ),Miss Fortune/Twisted Fate (BW/NX),0,NEG,No,0.000239266250166157,0.044144623155656
0,2,(0.0% - 84.2%),FALSE,Aurelion Sol/Tryndamere (FR/MT),Hecarim/Zed (IO/SI),0,NEG,No,0.000770969028313173,0.0131330586202313
0,2,(0.0% - 84.2%),FALSE,Shyvana/Vayne (DE/MT),Pyke/Rek'Sai (BW/SH),0,NEG,No,0.000186095972351456,0.0261198989764722
0,2,(0.0% - 84.2%),FALSE,Rumble/Vayne (DE/NX),Ezreal/Seraphine (PZ/SI),0,NEG,No,0.00639372590721787,0.0025920510434667
