archetype_1,archetype_2,mu_win,mu_n,mu_wr
LeBlanc (NX/SI),Garen/Shyvana (RU/DE),0,1,0
Garen/Shyvana (RU/DE),Mordekaiser/Morgana (DE/SI),0,1,0
Jarvan IV/Shen (DE/IO),Nidalee (BC/SH),0,1,0
Nidalee (BC/SH),Kalista/Mordekaiser (NX/SI),0,1,0
Nidalee (BC/SH),Mordekaiser/Viego (NX/SI),0,1,0
Illaoi/Vayne (BW/DE),Nidalee (BC/SH),0,1,0
Nidalee (BC/SH),Darius/Gnar (FR/NX),0,1,0
Bard/Mordekaiser (RU/SI),Elder Dragon/Shyvana (RU/DE),0,1,0
Tryndamere/Volibear (FR/SI),Elder Dragon (RU/FR),0,1,0
Galio/Morgana (DE/MT),Elder Dragon/Shyvana (RU/DE),0,1,0
Elder Dragon/Volibear (RU/FR),Kalista/Mordekaiser (NX/SI),0,1,0
Miss Fortune/Quinn (BW/DE),Elder Dragon (RU/FR),0,1,0
Mordekaiser (NX/SI),Mordekaiser/Viego (FR/SI),0,1,0
Gnar/Neeko (FR/RU),Mordekaiser/Sion (NX/SI),0,1,0
Jack/Sett (BW/IO),Jinx (NX/PZ),0,1,0
Gwen/Zed (IO/SI),Riven/Varus (NX/RU),0,1,0
LeBlanc/Mordekaiser (NX/SI),Diana/Morgana (MT/NX),0,1,0
Diana/Morgana (MT/NX),Nidalee (BC/SH),0,1,0
Miss Fortune/Quinn (BW/DE),Darius/Gnar (FR/NX),0,1,0
Miss Fortune/Quinn (BW/DE),Jarvan IV/Shen (DE/IO),0,1,0
Norra/Yuumi (BC/MT),Morgana/Riven (MT/NX),0,1,0
Akshan/Morgana (MT/SH),Elder Dragon (RU/FR),0,1,0
Norra/Teemo (RU/BC),Mordekaiser/Senna (SI/SH),0,1,0
Elder Dragon/Lissandra (RU/FR),Kennen/Morgana (BC/MT),0,1,0
Morgana/Riven (MT/NX),Kennen/Morgana (BC/MT),0,1,0
Annie/Jhin (RU/NX),Kennen/Morgana (BC/MT),0,1,0
Caitlyn/Teemo (FR/PZ),Diana/Morgana (MT/NX),0,1,0
Miss Fortune/Quinn (BW/DE),Caitlyn/Teemo (FR/PZ),0,1,0
Miss Fortune/Quinn (BW/DE),Gwen/Riven (NX/SI),0,1,0
Miss Fortune/Quinn (BW/DE),Nidalee (BC/SH),0,1,0
Jax/Lucian (DE/RU),Caitlyn/Teemo (FR/PZ),0,1,0
Morgana/Riven (MT/NX),Caitlyn/Teemo (FR/PZ),0,1,0
Elder Dragon/Viego (RU/SI),Gnar/Neeko (FR/RU),0,1,0
Fizz/Yuumi (BC/FR),Jarvan IV/Shen (DE/IO),0,1,0
Caitlyn/Teemo (FR/PZ),Jarvan IV/Shen (DE/IO),0,1,0
Jinx (BC/PZ),Evelynn/Kai'Sa (RU/SH),0,1,0
Akshan/Riven (NX/SH),Kennen/Morgana (BC/DE),0,1,0
Ahri/Zed (IO/MT),Caitlyn/Teemo (FR/PZ),0,1,0
Gwen/Riven (NX/SI),Karma/Sett (IO/MT),0,1,0
Jarvan IV/Shen (DE/IO),Gwen/Riven (NX/SI),0,1,0
Jarvan IV/Shen (DE/IO),Elder Dragon (RU/FR),0,1,0
Elder Dragon (RU/FR),Jinx (NX/PZ),0,1,0
Karma/Sett (IO/PZ),Caitlyn/Teemo (FR/PZ),0,1,0
Karma/Sett (IO/MT),Elder Dragon/Volibear (RU/FR),0,1,0
Morgana/Viego (MT/SI),Jarvan IV/Shen (DE/IO),0,1,0
Mordekaiser/Sion (NX/SI),Azir/Miss Fortune (BW/SH),0,1,0
Jinx (NX/PZ),Ashe/LeBlanc (FR/NX),0,1,0
Ashe/LeBlanc (FR/NX),Jarvan IV/Shen (DE/IO),0,1,0
Jarvan IV/Shen (DE/IO),Morgana/Riven (MT/NX),0,1,0
Gwen/Riven (NX/SI),Caitlyn/Teemo (FR/PZ),0,1,0
Darius/Morgana (MT/NX),Gwen/Riven (NX/SI),0,1,0
Volibear (RU/FR),Gwen/Riven (NX/SI),0,1,0
Jinx/Kennen (BC/PZ),Gwen/Riven (NX/SI),0,1,0
Elder Dragon/Lissandra (RU/FR),Championless (BC/IO),0,1,0
Elder Dragon (RU/FR),Akshan/Mordekaiser (SI/SH),0,1,0
Caitlyn/Teemo (FR/PZ),Gwen/Zed (IO/SI),0,1,0
Bard/Lucian (RU/DE),Mordekaiser/Sion (NX/SI),0,1,0
Norra/Teemo (RU/BC),Gwen/Zed (IO/SI),0,1,0
Morgana/Riven (MT/NX),Mordekaiser/Viego (FR/SI),0,1,0
Darius (FR/NX),Elder Dragon/Volibear (RU/FR),0,1,0
Akshan/Mordekaiser (SI/SH),Volibear (RU/FR),0,1,0
Akshan/Mordekaiser (SI/SH),Elder Dragon/Volibear (RU/FR),0,1,0
Fizz/Yuumi (BC/MT),Morgana/Riven (MT/NX),0,1,0
Darius/Gnar (FR/NX),Darius (FR/NX),0,1,0
Norra (BC/FR),Darius/Gnar (FR/NX),0,1,0
Darius/Morgana (MT/NX),Darius/Gnar (FR/NX),0,1,0
Norra/Teemo (RU/BC),Volibear (RU/FR),0,1,0
Championless (BC/IO),Maokai (BW/SI),0,1,0
Ashe/Mordekaiser (FR/NX),Championless (BC/IO),0,1,0
