archetype_1,archetype_2,mu_win,mu_n,mu_wr
Evelynn/Maokai (RU/SI),Kayle/Zed (IO/MT),1,2,0.5
Katarina/Yasuo (IO/NX),Seraphine (IO/PZ),1,2,0.5
Seraphine (IO/PZ),Katarina/Yasuo (IO/NX),1,2,0.5
Nocturne/Vex (SI),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Nocturne/Vex (SI),1,2,0.5
Azir/Irelia (IO/SH),Aurelion Sol/Leona (MT),1,2,0.5
Aurelion Sol/Leona (MT),Azir/Irelia (IO/SH),1,2,0.5
Aurelion Sol/Leona (MT),Pyke/Rek'Sai (BW/SH),1,2,0.5
Pyke/Rek'Sai (BW/SH),Aurelion Sol/Leona (MT),1,2,0.5
Annie/Gwen (NX/SI),Ryze (IO/RU),1,2,0.5
Ryze (IO/RU),Annie/Gwen (NX/SI),1,2,0.5
Pyke/Rek'Sai (BW/SH),Teemo (NX/PZ),1,2,0.5
Teemo (NX/PZ),Pyke/Rek'Sai (BW/SH),1,2,0.5
Sion/Viego (NX/SI),Azir/Irelia (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Sion/Viego (NX/SI),1,2,0.5
Nasus (BC/SH),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Nasus (BC/SH),1,2,0.5
Gnar (BC/PZ),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Gnar (BC/PZ),1,2,0.5
Taliyah/Zilean (IO/SH),Norra (BC/SI),1,2,0.5
Norra (BC/SI),Taliyah/Zilean (IO/SH),1,2,0.5
Ahri/Katarina (IO/NX),Braum/Elder Dragon/Udyr (RU/FR),1,2,0.5
Braum/Elder Dragon/Udyr (RU/FR),Ahri/Katarina (IO/NX),1,2,0.5
Elder Dragon/Galio/Morgana (RU/DE),Gangplank/Miss Fortune (BW/NX),1,2,0.5
Gangplank/Miss Fortune (BW/NX),Elder Dragon/Galio/Morgana (RU/DE),1,2,0.5
Ahri/Katarina (IO/NX),Kayle/Zed (IO/MT),1,2,0.5
Kayle/Zed (IO/MT),Ahri/Katarina (IO/NX),1,2,0.5
Morgana/Vex (BC/DE),Azir/Irelia (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Morgana/Vex (BC/DE),1,2,0.5
Aphelios/Viktor (MT/PZ),Ryze (IO/RU),1,2,0.5
Ryze (IO/RU),Aphelios/Viktor (MT/PZ),1,2,0.5
Darius/Elise (NX/SI),Elder Dragon/Mordekaiser/Viego (RU/SI),1,2,0.5
Elder Dragon/Mordekaiser/Viego (RU/SI),Darius/Elise (NX/SI),1,2,0.5
Miss Fortune/Twisted Fate (BW/NX),Pyke/Rek'Sai (BW/SH),1,2,0.5
Pyke/Rek'Sai (BW/SH),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5
Garen/Jarvan IV (DE),Miss Fortune/Twisted Fate (BW/NX),1,2,0.5
Miss Fortune/Twisted Fate (BW/NX),Garen/Jarvan IV (DE),1,2,0.5
Mordekaiser/Norra (BC/SI),Braum/Norra (BC/FR),1,2,0.5
Braum/Norra (BC/FR),Mordekaiser/Norra (BC/SI),1,2,0.5
Poppy/Taric (DE/MT),Fizz/Samira (BW/NX),1,2,0.5
Fizz/Samira (BW/NX),Poppy/Taric (DE/MT),1,2,0.5
Ezreal/Seraphine (BC/PZ),Draven/Katarina (NX/SI),1,2,0.5
Draven/Katarina (NX/SI),Ezreal/Seraphine (BC/PZ),1,2,0.5
Caitlyn/Teemo (FR/PZ),Jinx/Lulu (BC/PZ),1,2,0.5
Jinx/Lulu (BC/PZ),Caitlyn/Teemo (FR/PZ),1,2,0.5
Mordekaiser/Norra (BC/SI),Seraphine (IO/PZ),1,2,0.5
Seraphine (IO/PZ),Mordekaiser/Norra (BC/SI),1,2,0.5
Mordekaiser (BC/SI),Azir/Irelia (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Mordekaiser (BC/SI),1,2,0.5
Seraphine/Sett (IO/PZ),Karma/Sett (IO/PZ),1,2,0.5
Karma/Sett (IO/PZ),Seraphine/Sett (IO/PZ),1,2,0.5
Pyke/Rek'Sai (BW/SH),Kindred (FR/SI),1,2,0.5
Kindred (FR/SI),Pyke/Rek'Sai (BW/SH),1,2,0.5
Aatrox/Akshan (RU/SH),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Aatrox/Akshan (RU/SH),1,2,0.5
Ezreal/Seraphine (BC/PZ),Jax/Vi (RU/PZ),1,2,0.5
Jax/Vi (RU/PZ),Ezreal/Seraphine (BC/PZ),1,2,0.5
Darius (FR/NX),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Darius (FR/NX),1,2,0.5
Aatrox/Kayn (RU/RU),Senna/Veigar (BC/SI),1,2,0.5
Senna/Veigar (BC/SI),Aatrox/Kayn (RU/RU),1,2,0.5
Elder Dragon/Volibear (RU/FR),Akshan/Elder Dragon/Sivir (RU/SH),1,2,0.5
Akshan/Elder Dragon/Sivir (RU/SH),Elder Dragon/Volibear (RU/FR),1,2,0.5
Aatrox/Vayne (RU/DE),Ezreal/Nilah (BW/PZ),1,2,0.5
Ezreal/Nilah (BW/PZ),Aatrox/Vayne (RU/DE),1,2,0.5
Rumble/Vayne (DE/NX),Aurelion Sol/Shyvana (DE/MT),1,2,0.5
Aurelion Sol/Shyvana (DE/MT),Rumble/Vayne (DE/NX),1,2,0.5
Seraphine/Viktor (BC/PZ),Senna/Veigar (BC/SI),1,2,0.5
Senna/Veigar (BC/SI),Seraphine/Viktor (BC/PZ),1,2,0.5
Taliyah/Zilean (IO/SH),The Poro King (MT/RU),1,2,0.5
The Poro King (MT/RU),Taliyah/Zilean (IO/SH),1,2,0.5
Fizz/Samira (BW/NX),Aatrox/Vayne (RU/DE),1,2,0.5
Aatrox/Vayne (RU/DE),Fizz/Samira (BW/NX),1,2,0.5
Braum/Elder Dragon (RU/FR),Ezreal/Seraphine (BC/PZ),1,2,0.5
Ezreal/Seraphine (BC/PZ),Braum/Elder Dragon (RU/FR),1,2,0.5
Evelynn/Lucian (DE/RU),Ezreal/Seraphine (IO/PZ),1,2,0.5
Ezreal/Seraphine (IO/PZ),Evelynn/Lucian (DE/RU),1,2,0.5
Elise/Nocturne (NX/SI),Karma/Sett (IO/PZ),1,2,0.5
Karma/Sett (IO/PZ),Elise/Nocturne (NX/SI),1,2,0.5
Championless (FR/PZ),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Championless (FR/PZ),1,2,0.5
Annie/Darius (FR/NX),Annie/Teemo (NX/PZ),1,2,0.5
Annie/Teemo (NX/PZ),Annie/Darius (FR/NX),1,2,0.5
Galio/Garen (DE/FR),Azir/Irelia (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Galio/Garen (DE/FR),1,2,0.5
Karma/Sett (FR/IO),Jinx/Zed (IO/PZ),1,2,0.5
Jinx/Zed (IO/PZ),Karma/Sett (FR/IO),1,2,0.5
Mordekaiser/Norra (BC/SI),Annie/Teemo (NX/PZ),1,2,0.5
Annie/Teemo (NX/PZ),Mordekaiser/Norra (BC/SI),1,2,0.5
Lissandra/Trundle (FR/IO),Azir/Xerath (SH),1,2,0.5
Azir/Xerath (SH),Lissandra/Trundle (FR/IO),1,2,0.5
Xerath/Ziggs (BC/SH),Poppy/Ziggs (BC/NX),1,2,0.5
Poppy/Ziggs (BC/NX),Xerath/Ziggs (BC/SH),1,2,0.5
Yasuo/Zilean (IO/SH),Gnar/Teemo (BC/PZ),1,2,0.5
Gnar/Teemo (BC/PZ),Yasuo/Zilean (IO/SH),1,2,0.5
Championless (FR/NX),Nocturne/Vex (PZ/SI),1,2,0.5
Nocturne/Vex (PZ/SI),Championless (FR/NX),1,2,0.5
Draven/Jinx (NX/PZ),Nocturne/Vex (PZ/SI),1,2,0.5
Nocturne/Vex (PZ/SI),Draven/Jinx (NX/PZ),1,2,0.5
Azir/Irelia (IO/SH),Gwen/Vayne (DE/SI),1,2,0.5
Gwen/Vayne (DE/SI),Azir/Irelia (IO/SH),1,2,0.5
Elder Dragon/Garen (RU/DE),The Poro King (RU/SH),1,2,0.5
The Poro King (RU/SH),Elder Dragon/Garen (RU/DE),1,2,0.5
The Poro King (RU/SH),Braum/Elder Dragon (RU/FR),1,2,0.5
Braum/Elder Dragon (RU/FR),The Poro King (RU/SH),1,2,0.5
Azir/Irelia (IO/SH),The Poro King (BW/RU),1,2,0.5
The Poro King (BW/RU),Azir/Irelia (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),Braum/Elder Dragon (RU/FR),1,2,0.5
Braum/Elder Dragon (RU/FR),Taliyah/Zilean (IO/SH),1,2,0.5
Senna/Veigar (BC/SI),Rumble/Vayne (DE/NX),1,2,0.5
Rumble/Vayne (DE/NX),Senna/Veigar (BC/SI),1,2,0.5
Gnar/Teemo (BC/PZ),Karma/Sett (IO/PZ),1,2,0.5
Karma/Sett (IO/PZ),Gnar/Teemo (BC/PZ),1,2,0.5
Taliyah/Zilean (IO/SH),Gangplank/Sejuani (BW/FR),1,2,0.5
Gangplank/Sejuani (BW/FR),Taliyah/Zilean (IO/SH),1,2,0.5
Ashe/Sejuani (FR/NX),Jinx/Lulu (BC/PZ),1,2,0.5
Jinx/Lulu (BC/PZ),Ashe/Sejuani (FR/NX),1,2,0.5
Karma/Sett (IO/SI),Hecarim/Zed (IO/SI),1,2,0.5
Hecarim/Zed (IO/SI),Karma/Sett (IO/SI),1,2,0.5
Veigar (BC/SI),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Veigar (BC/SI),1,2,0.5
Lissandra/Trundle (FR/IO),Lulu/Zed (DE/IO),1,2,0.5
Lulu/Zed (DE/IO),Lissandra/Trundle (FR/IO),1,2,0.5
Ryze (IO/RU),Karma/Sett (IO/PZ),1,2,0.5
Karma/Sett (IO/PZ),Ryze (IO/RU),1,2,0.5
Annie/Teemo (NX/PZ),Braum/Vladimir (FR/NX),1,2,0.5
Braum/Vladimir (FR/NX),Annie/Teemo (NX/PZ),1,2,0.5
Caitlyn/Teemo (FR/PZ),Caitlyn/Teemo (FR/PZ),1,2,0.5
Karma/Seraphine (IO/PZ),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Karma/Seraphine (IO/PZ),1,2,0.5
Elder Dragon/Norra (RU/BC),Trundle/Volibear (FR/IO),1,2,0.5
Trundle/Volibear (FR/IO),Elder Dragon/Norra (RU/BC),1,2,0.5
Hecarim/Zed (IO/SI),Karma/Sett (IO/PZ),1,2,0.5
Karma/Sett (IO/PZ),Hecarim/Zed (IO/SI),1,2,0.5
Taliyah/Zilean (IO/SH),Elise/Kalista (FR/SI),1,2,0.5
Elise/Kalista (FR/SI),Taliyah/Zilean (IO/SH),1,2,0.5
Taliyah/Zilean (IO/SH),The Poro King (BC/RU),1,2,0.5
The Poro King (BC/RU),Taliyah/Zilean (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Darius (FR/NX),1,2,0.5
Darius (FR/NX),Azir/Irelia (IO/SH),1,2,0.5
Fizz/Samira (BW/NX),Hecarim/Lucian (DE/SI),1,2,0.5
Hecarim/Lucian (DE/SI),Fizz/Samira (BW/NX),1,2,0.5
Championless (PZ/SI),Ezreal/Seraphine (IO/PZ),1,2,0.5
Ezreal/Seraphine (IO/PZ),Championless (PZ/SI),1,2,0.5
Taliyah/Zilean (IO/SH),Malphite/Taliyah (MT/SH),1,2,0.5
Malphite/Taliyah (MT/SH),Taliyah/Zilean (IO/SH),1,2,0.5
Pyke/Rek'Sai (BW/SH),Pyke/Rek'Sai (BW/SH),1,2,0.5
Nocturne/Vex (NX/SI),Ashe/LeBlanc (FR/NX),1,2,0.5
Ashe/LeBlanc (FR/NX),Nocturne/Vex (NX/SI),1,2,0.5
Annie/Jhin (RU/NX),Poppy/Taric (DE/MT),1,2,0.5
Poppy/Taric (DE/MT),Annie/Jhin (RU/NX),1,2,0.5
Anivia/Kindred (FR/SI),Azir/Irelia (IO/SH),1,2,0.5
Azir/Irelia (IO/SH),Anivia/Kindred (FR/SI),1,2,0.5
Pyke/Rek'Sai (BW/SH),Elder Dragon/Norra/Vex (RU/BC),1,2,0.5
Elder Dragon/Norra/Vex (RU/BC),Pyke/Rek'Sai (BW/SH),1,2,0.5
Maokai (BW/SI),Elder Dragon/Mordekaiser/Viego (RU/SI),1,2,0.5
Elder Dragon/Mordekaiser/Viego (RU/SI),Maokai (BW/SI),1,2,0.5
Taliyah/Zilean (IO/SH),Swain/Yasuo (IO/NX),1,2,0.5
Swain/Yasuo (IO/NX),Taliyah/Zilean (IO/SH),1,2,0.5
Aatrox/Ornn (RU/FR),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),Aatrox/Ornn (RU/FR),1,2,0.5
Championless (PZ/SI),Gwen/Zed (IO/SI),1,2,0.5
Gwen/Zed (IO/SI),Championless (PZ/SI),1,2,0.5
Lulu/Zed (DE/IO),Ashe/Sejuani (FR/NX),1,2,0.5
Ashe/Sejuani (FR/NX),Lulu/Zed (DE/IO),1,2,0.5
Ashe/Sejuani (FR/NX),Annie/Jhin (RU/NX),1,2,0.5
Annie/Jhin (RU/NX),Ashe/Sejuani (FR/NX),1,2,0.5
Kindred/Yuumi (MT/SI),Miss Fortune/Poppy (BW/DE),1,2,0.5
Miss Fortune/Poppy (BW/DE),Kindred/Yuumi (MT/SI),1,2,0.5
Lissandra/Trundle (FR/IO),Pyke/Rek'Sai (BW/SH),1,2,0.5
Pyke/Rek'Sai (BW/SH),Lissandra/Trundle (FR/IO),1,2,0.5
