archetype_1,archetype_2,mu_win,mu_n,mu_wr
Jarvan IV/Shen (DE/IO),Fizz/Samira (BW/NX),8,15,0.533333333333333
Nasus (SI/SH),Maokai/Nautilus (BW/SI),8,15,0.533333333333333
Heimerdinger/Jayce (PZ/SI),Ekko/Nidalee (PZ/SH),8,15,0.533333333333333
Garen/Neeko (DE/RU),Gwen/Samira (NX/SI),8,15,0.533333333333333
Garen/Neeko (DE/RU),Jhin/Norra (BC/RU),8,15,0.533333333333333
Fizz (BW/MT),Caitlyn/Teemo (FR/PZ),8,15,0.533333333333333
Evelynn/Viego (RU/SI),Aatrox (RU/BW),6,12,0.5
Aatrox (RU/BW),Evelynn/Viego (RU/SI),6,12,0.5
Azir/Neeko (RU/SH),Jinx/Samira (NX/PZ),6,12,0.5
Jinx/Samira (NX/PZ),Azir/Neeko (RU/SH),6,12,0.5
Evelynn/Lucian (DE/RU),Jax/Ornn (FR/RU),6,12,0.5
Jax/Ornn (FR/RU),Evelynn/Lucian (DE/RU),6,12,0.5
Jax/Ornn (FR/RU),Teemo (IO/PZ),6,12,0.5
Teemo (IO/PZ),Jax/Ornn (FR/RU),6,12,0.5
Evelynn (RU/MT),Lucian/Miss Fortune (BW/DE),6,12,0.5
Lucian/Miss Fortune (BW/DE),Evelynn (RU/MT),6,12,0.5
Karma/Sett (FR/IO),Nasus (SI/SH),6,12,0.5
Nasus (SI/SH),Karma/Sett (FR/IO),6,12,0.5
Nidalee/Norra (BC/SH),Evelynn/Kayle (RU/MT),6,12,0.5
Evelynn/Kayle (RU/MT),Nidalee/Norra (BC/SH),6,12,0.5
Fizz (BW/MT),Norra/Swain (BC/NX),6,12,0.5
Norra/Swain (BC/NX),Fizz (BW/MT),6,12,0.5
Championpile (RU/BW),Championless (BW/MT),6,12,0.5
Championless (BW/MT),Championpile (RU/BW),6,12,0.5
Aurelion Sol (FR/MT),Aurelion Sol (FR/MT),6,12,0.5
Championless (BW/MT),Championless (BW/MT),6,12,0.5
Gwen/Riven (NX/SI),Heimerdinger/Jayce (PZ/SI),6,12,0.5
Heimerdinger/Jayce (PZ/SI),Gwen/Riven (NX/SI),6,12,0.5
Annie/Jhin (RU/NX),Azir/Nasus/Renekton (SH),6,12,0.5
Azir/Nasus/Renekton (SH),Annie/Jhin (RU/NX),6,12,0.5
Ekko/Nidalee (PZ/SH),Senna/Veigar (BC/SI),6,12,0.5
Senna/Veigar (BC/SI),Ekko/Nidalee (PZ/SH),6,12,0.5
Jack/Seraphine (BW/PZ),Jack/Seraphine (BW/PZ),6,12,0.5
Jack/Seraphine (BW/PZ),Caitlyn/Teemo (BC/PZ),6,12,0.5
Caitlyn/Teemo (BC/PZ),Jack/Seraphine (BW/PZ),6,12,0.5
Aatrox/Vayne (RU/DE),Aatrox/Vayne (RU/DE),6,12,0.5
Aatrox (RU/BW),Evelynn (RU/MT),31,69,0.449275362318841
Evelynn (RU/MT),Aatrox (RU/BW),38,69,0.550724637681159
Gnar/Norra (BC/PZ),Evelynn (RU/MT),14,22,0.636363636363636
Jinx/Samira (NX/PZ),The Poro King (FR/RU),14,22,0.636363636363636
Annie/Jhin (RU/NX),Gwen/Quinn (DE/SI),14,22,0.636363636363636
Jinx/Teemo (BW/PZ),Maokai/Nautilus (BW/SI),14,22,0.636363636363636
Gwen/Riven (NX/SI),Annie/Jhin (RU/NX),14,22,0.636363636363636
Diana/Evelynn (RU/MT),Jayce (PZ/SI),14,22,0.636363636363636
Evelynn (RU/MT),Gnar/Norra (BC/PZ),8,22,0.363636363636364
The Poro King (FR/RU),Jinx/Samira (NX/PZ),8,22,0.363636363636364
Gwen/Quinn (DE/SI),Annie/Jhin (RU/NX),8,22,0.363636363636364
Maokai/Nautilus (BW/SI),Jinx/Teemo (BW/PZ),8,22,0.363636363636364
Annie/Jhin (RU/NX),Gwen/Riven (NX/SI),8,22,0.363636363636364
Jayce (PZ/SI),Diana/Evelynn (RU/MT),8,22,0.363636363636364
Gnar/Sejuani (BC/FR),Evelynn (RU/MT),0,1,0
Bard/Norra (BC/RU),Ryze (PZ/RU),0,1,0
Karma/Sett (FR/IO),Azir/Nasus (SI/SH),0,1,0
Pantheon/Yuumi (DE/MT),Azir/Nasus (SI/SH),0,1,0
Azir/Nasus (SI/SH),Evelynn/Lucian (DE/RU),0,1,0
The Poro King (RU),Azir/Nasus (SI/SH),0,1,0
Aatrox (RU/BW),Azir/Nasus (SI/SH),0,1,0
Neeko/Norra (BC/RU),Azir/Nasus (SI/SH),0,1,0
Ornn/Vayne (DE/FR),Azir/Nasus (SI/SH),0,1,0
Senna/Veigar (BC/SI),Azir/Nasus (SI/SH),0,1,0
Kai'Sa/Nasus (SI/SH),Azir/Nasus (SI/SH),0,1,0
Fizz/Samira (BW/NX),Kayle/Zed (IO/MT),0,1,0
Illaoi/Vayne (BW/DE),Aatrox (RU/BW),0,1,0
Azir/Neeko (RU/SH),Illaoi/Vayne (BW/DE),0,1,0
Garen/Jarvan IV (DE/MT),Evelynn/Lucian (DE/RU),0,1,0
The Poro King/Vayne (DE/RU),Jinx/Samira (NX/PZ),0,1,0
Aatrox/Evelynn (RU/RU),Aurelion Sol/Yuumi (DE/MT),0,1,0
Master Yi/Nidalee (IO/SH),Aatrox/Evelynn (RU/RU),0,1,0
Diana/Gwen (MT/SI),Aatrox/Evelynn (RU/RU),0,1,0
Bard/Kalista (RU/SI),Aatrox/Evelynn (RU/RU),0,1,0
Championless (BC/SH),Evelynn/Kayle (RU/MT),0,1,0
Kayle/Kayn (RU/MT),Jinx/Samira (NX/PZ),0,1,0
Neeko (RU/SH),Jinx (BC/PZ),0,1,0
Gwen/Vayne (DE/SI),Jinx (BC/PZ),0,1,0
The Poro King (BC/RU),Jinx (BC/PZ),0,1,0
Heimerdinger/Jayce (FR/PZ),Fizz/Nami (BW/MT),0,1,0
