playerDeck,opponentDeck,muWin,muGames,muWR
Aphelios/Diana (MT/SI),Tri-Beam (NX/PZ),16,38,0.421052631578947
Aphelios/Ezreal,SunDisc,8,29,0.275862068965517
Aphelios/Karma,SunDisc,5,15,0.333333333333333
Aphelios/Kindred,SunDisc,2,12,0.166666666666667
Aphelios/Lee Sin,SunDisc,15,38,0.394736842105263
Aphelios/Lux,Aphelios/Viktor,5,11,0.454545454545455
Aphelios/Lux,SunDisc,11,45,0.244444444444444
Aphelios/Lux/Zoe,Aphelios/Viktor,11,18,0.611111111111111
Aphelios/Lux/Zoe,SunDisc,11,67,0.164179104477612
Aphelios/Lux/Zoe,Tri-Beam (NX/PZ),3,12,0.25
Aphelios/Nami,SunDisc,9,32,0.28125
Aphelios/Swain,SunDisc,3,13,0.230769230769231
Aphelios/Twisted Fate,SunDisc,0,18,0
Aphelios/Vi/Viktor,SunDisc,9,20,0.45
Aphelios/Vi/Zoe,SunDisc,4,11,0.363636363636364
Aphelios/Viktor,Akshan/Aphelios,7,18,0.388888888888889
Aphelios/Viktor,Akshan/Sivir (DE/SH),17,38,0.447368421052632
Aphelios/Viktor,Aphelios/Diana (MT/SI),22,30,0.733333333333333
Aphelios/Viktor,Aphelios/Lux,6,11,0.545454545454545
Aphelios/Viktor,Aphelios/Lux/Zoe,7,18,0.388888888888889
Aphelios/Viktor,Aphelios/Viktor,83,166,0.5
Aphelios/Viktor,Aphelios/Viktor/Zoe,7,18,0.388888888888889
Aphelios/Viktor,Aphelios/Zoe (MT/SI),9,12,0.75
Aphelios/Viktor,Aurelion Sol/Trundle,12,26,0.461538461538462
Aphelios/Viktor,Aurelion Sol/Tryndamere,38,62,0.612903225806452
Aphelios/Viktor,Aurelion Sol/Zoe (FR/MT),36,66,0.545454545454545
Aphelios/Viktor,Azir/Irelia,24,57,0.421052631578947
Aphelios/Viktor,BandleTree,24,41,0.585365853658537
Aphelios/Viktor,Caitlyn/Swain,4,10,0.4
Aphelios/Viktor,Caitlyn/Teemo (BC/PZ),44,66,0.666666666666667
Aphelios/Viktor,Championless (FR/PZ),12,17,0.705882352941177
Aphelios/Viktor,Darius/Gnar (FR/NX),14,32,0.4375
Aphelios/Viktor,Draven/Rumble,9,15,0.6
Aphelios/Viktor,Draven/Rumble (NX/PZ),17,31,0.548387096774194
Aphelios/Viktor,Draven/Rumble/Sion,6,11,0.545454545454545
Aphelios/Viktor,Ekko/Zilean,15,23,0.652173913043478
Aphelios/Viktor,Elise (NX/SI),41,58,0.706896551724138
Aphelios/Viktor,Fizz/Lulu (BC/PZ),14,32,0.4375
Aphelios/Viktor,Galio/Lulu/Poppy (BC/DE),3,12,0.25
Aphelios/Viktor,Gangplank/Sejuani,5,13,0.384615384615385
Aphelios/Viktor,Gnar/Teemo/Tristana (BC/DE),13,23,0.565217391304348
Aphelios/Viktor,Gnar/Trundle (FR/IO),7,10,0.7
Aphelios/Viktor,Gnar/Trundle (FR/PZ),18,30,0.6
Aphelios/Viktor,Gnar/Ziggs (BC/NX),16,26,0.615384615384615
Aphelios/Viktor,Jarvan IV/Shen,4,15,0.266666666666667
Aphelios/Viktor,Kindred/Viego (IO/SI),18,38,0.473684210526316
Aphelios/Viktor,Leona/Yasuo,6,11,0.545454545454545
