archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Annie/Twisted Fate (BW/NX),Lissandra/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00177768359586541,0.00193072920345648
Lissandra/Trundle (FR/IO),Annie/Twisted Fate (BW/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00193072920345648,0.00177768359586541
Fizz/Zoe (BC/MT),Akshan/Varus (SH/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000211909302818394,0.0119493301311483
Akshan/Varus (SH/RU),Fizz/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0119493301311483,0.000211909302818394
Karma/Master Yi (FR/IO),Ezreal/Karma (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00676932495114313,0.00266063902427539
Ezreal/Karma (IO/PZ),Karma/Master Yi (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00266063902427539,0.00676932495114313
Gwen/Katarina (NX/SI),Akshan/Lee Sin (IO/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00567446021991477,0.00193072920345648
Akshan/Lee Sin (IO/SH),Gwen/Katarina (NX/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00193072920345648,0.00567446021991477
Ryze (IO/RU),Ezreal/Seraphine (PZ/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.031986531986532,0.000729909820818912
Ezreal/Seraphine (PZ/SI),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000729909820818912,0.031986531986532
Fizz/Zoe (BC/MT),Aphelios/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000211909302818394,0.00476795931341386
Aphelios/Zoe (BC/MT),Fizz/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00476795931341386,0.000211909302818394
Kalista/Nocturne (SI),Ezreal/Karma (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00416754962209508,0.00266063902427539
Ezreal/Karma (IO/PZ),Kalista/Nocturne (SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00266063902427539,0.00416754962209508
Ezreal/Karma (IO/PZ),Pyke/Rek'Sai (BW/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00266063902427539,0.0160933342751525
Pyke/Rek'Sai (BW/SH),Ezreal/Karma (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0160933342751525,0.00266063902427539
Fizz/Yuumi (BC/FR),Trundle/Tryndamere (FR/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00138918320736503,0.0131148312966495
Trundle/Tryndamere (FR/SI),Fizz/Yuumi (BC/FR),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0131148312966495,0.00138918320736503
Fizz/Yuumi (BC/FR),Swain/Twisted Fate (BW/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00138918320736503,0.00194250194250194
Swain/Twisted Fate (BW/NX),Fizz/Yuumi (BC/FR),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00194250194250194,0.00138918320736503
Annie/Jhin (RU/NX),Fizz/Yuumi (BC/FR),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00878246332791787,0.00138918320736503
Fizz/Yuumi (BC/FR),Annie/Jhin (RU/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00138918320736503,0.00878246332791787
Kayle/Zed (IO/MT),Bard/Norra (BC/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00148336511972876,0.00486214122577759
Bard/Norra (BC/RU),Kayle/Zed (IO/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00486214122577759,0.00148336511972876
Championless (NX/PZ),Heimerdinger/Jayce (PZ/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,9.41819123637305e-05,0.0419815874361329
Heimerdinger/Jayce (PZ/SI),Championless (NX/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0419815874361329,9.41819123637305e-05
