playerDeck,Akshan/Varus (RU/SH),Annie/Jhin (NX/RU),Annie/Twisted Fate (BW/NX),Aphelios/Seraphine (MT/PZ),Caitlyn/Teemo (BC/PZ),Diana/Leona (MT/SI),Draven/Jinx (NX/PZ),Ekko/Jinx (PZ/SH),Ezreal/Seraphine (NX/PZ),Gangplank/Sejuani (BW/FR),Gwen/Katarina (NX/SI),Gwen/Vayne (DE/SI),Hecarim/Zed (IO/SI),Heimerdinger/Jayce (PZ/SI),Jinx/Lulu (BC/PZ),Katarina/Yasuo (IO/NX),Kayn/Vayne (DE/RU),Maokai/Nautilus (BW/SI),Norra/Veigar (BC/SI),Pantheon/Varus (MT/RU),Pyke/Rek'Sai (BW/SH),Quinn/Vayne (DE/PZ),Rumble/Sion (BC/NX),Rumble/Vayne (DE/NX),Seraphine/Viktor (PZ/SI),SunDisc,Taliyah/Ziggs (BC/SH),Teemo/Zoe (BC/MT),Trundle Timelines (FR/PZ),Trundle/Tryndamere (FR/SI)
Gwen/Katarina (NX/SI),0.534039334341906,0.575528700906344,0.517198248905566,0.524813895781638,0.664082687338501,0.410714285714286,0.479489516864175,0.47906026557712,0.695443645083933,0.475225225225225,0.5,0.502555366269165,0.570053475935829,0.614552605703048,0.454545454545455,0.501043841336117,0.494725738396625,0.528963414634146,0.621928166351607,0.478905359179019,0.610695187165775,0.505277044854881,0.494145199063232,0.520572450805009,0.631546134663342,0.596491228070175,0.521008403361345,0.496487119437939,0.577540106951872,0.578256302521008
Gwen/Vayne (DE/SI),0.463768115942029,0.457142857142857,0.411552346570397,0.592,0.641791044776119,0.394957983193277,0.4,0.478448275862069,0.585106382978723,0.485507246376812,0.497444633730835,0.5,0.490291262135922,0.533980582524272,0.514492753623188,0.393939393939394,0.480861244019139,0.470588235294118,0.578034682080925,0.405128205128205,0.486338797814208,0.437185929648241,0.370967741935484,0.36231884057971,0.557553956834532,0.666666666666667,0.507936507936508,0.5008,0.493827160493827,0.621848739495798
Hecarim/Zed (IO/SI),0.601809954751131,0.348623853211009,0.512304250559284,0.529126213592233,0.631205673758865,0.346938775510204,0.298755186721992,0.364764267990074,0.598930481283422,0.441666666666667,0.429946524064171,0.509708737864078,0.5,0.426900584795322,0.321428571428571,0.554838709677419,0.445214979195562,0.575,0.36518771331058,0.539735099337748,0.598784194528875,0.428044280442804,0.6015625,0.518018018018018,0.480952380952381,0.691943127962085,0.514204545454545,0.452513966480447,0.622568093385214,0.612847222222222
Heimerdinger/Jayce (PZ/SI),0.470802919708029,0.664912280701754,0.424,0.349019607843137,0.547297297297297,0.554385964912281,0.610320284697509,0.568904593639576,0.448275862068966,0.495934959349594,0.385447394296952,0.466019417475728,0.573099415204678,0.5,0.547738693467337,0.503184713375796,0.450738916256158,0.583333333333333,0.522842639593909,0.442477876106195,0.507987220447284,0.487323943661972,0.376068376068376,0.412213740458015,0.367972742759796,0.518181818181818,0.48155737704918,0.574564723694171,0.49375,0.443197755960729
Jinx/Lulu (BC/PZ),0.520710059171598,0.728706624605678,0.478547854785479,0.60377358490566,0.784810126582278,0.420289855072464,0.576433121019108,0.442857142857143,0.610169491525424,0.527272727272727,0.545454545454545,0.485507246376812,0.678571428571429,0.452261306532663,0.5,0.563829787234043,0.40748031496063,0.627272727272727,0.390804597701149,0.509615384615385,0.611650485436893,0.451612903225806,0.641975308641975,0.447761194029851,0.552469135802469,0.685950413223141,0.618556701030928,0.609302325581395,0.669902912621359,0.512755102040816
Katarina/Yasuo (IO/NX),0.525252525252525,0.32258064516129,0.253886010362694,0.5,0.560606060606061,0.53030303030303,0.402010050251256,0.558441558441558,0.516666666666667,0.458646616541353,0.498956158663883,0.606060606060606,0.445161290322581,0.496815286624204,0.436170212765957,0.5,0.523545706371191,0.530120481927711,0.380597014925373,0.566929133858268,0.428571428571429,0.528301886792453,0.482758620689655,0.520833333333333,0.451428571428571,0.63953488372093,0.52760736196319,0.535555555555556,0.570093457943925,0.577060931899642
Kayn/Vayne (DE/RU),0.429672447013488,0.459407831900669,0.417774086378738,0.599653379549394,0.735915492957747,0.643835616438356,0.528225806451613,0.630098452883263,0.598901098901099,0.591954022988506,0.505274261603376,0.519138755980861,0.554785020804438,0.549261083743842,0.59251968503937,0.476454293628809,0.5,0.529652351738241,0.565217391304348,0.432926829268293,0.437774524158126,0.508137432188065,0.595469255663431,0.509852216748769,0.514285714285714,0.571428571428571,0.610837438423645,0.475933423301844,0.512465373961219,0.51984126984127
Maokai/Nautilus (BW/SI),0.46875,0.553435114503817,0.609848484848485,0.4375,0.272727272727273,0.559633027522936,0.523809523809524,0.488372093023256,0.63953488372093,0.552795031055901,0.471036585365854,0.529411764705882,0.425,0.416666666666667,0.372727272727273,0.469879518072289,0.470347648261759,0.5,0.5678391959799,0.522012578616352,0.473372781065089,0.466666666666667,0.492063492063492,0.355932203389831,0.470833333333333,0.509090909090909,0.46031746031746,0.236263736263736,0.514450867052023,0.448818897637795
Norra/Veigar (BC/SI),0.48868778280543,0.673866090712743,0.504173622704508,0.343873517786561,0.543859649122807,0.52073732718894,0.647465437788019,0.521091811414392,0.49618320610687,0.481884057971015,0.378071833648393,0.421965317919075,0.63481228668942,0.477157360406091,0.609195402298851,0.619402985074627,0.434782608695652,0.4321608040201,0.5,0.534810126582278,0.647482014388489,0.459183673469388,0.529411764705882,0.389162561576355,0.333988212180747,0.362573099415205,0.408571428571429,0.494893221912721,0.445993031358885,0.349206349206349
Pantheon/Varus (MT/RU),0.545893719806763,0.254817987152034,0.490950226244344,0.563063063063063,0.484536082474227,0.528571428571429,0.366812227074236,0.552486187845304,0.572413793103448,0.514423076923077,0.521094640820981,0.594871794871795,0.460264900662252,0.557522123893805,0.490384615384615,0.433070866141732,0.567073170731707,0.477987421383648,0.465189873417722,0.5,0.48015873015873,0.51056338028169,0.594059405940594,0.613953488372093,0.529680365296804,0.580246913580247,0.594512195121951,0.367305751765893,0.56640625,0.636186770428016
Pyke/Rek'Sai (BW/SH),0.497757847533632,0.469262295081967,0.406926406926407,0.447236180904523,0.563106796116505,0.30952380952381,0.4,0.408360128617363,0.614814814814815,0.306772908366534,0.389304812834225,0.513661202185792,0.401215805471125,0.492012779552716,0.388349514563107,0.571428571428571,0.562225475841874,0.526627218934911,0.352517985611511,0.51984126984127,0.5,0.518218623481781,0.563492063492063,0.548913043478261,0.565727699530516,0.645161290322581,0.395424836601307,0.451127819548872,0.560975609756098,0.567190226876091
Quinn/Vayne (DE/PZ),0.478260869565217,0.614432989690722,0.441588785046729,0.640449438202247,0.729508196721312,0.451219512195122,0.471057884231537,0.493297587131367,0.654676258992806,0.411111111111111,0.494722955145119,0.562814070351759,0.571955719557196,0.512676056338028,0.548387096774194,0.471698113207547,0.491862567811935,0.533333333333333,0.540816326530612,0.48943661971831,0.481781376518219,0.5,0.48314606741573,0.452914798206278,0.640552995391705,0.644578313253012,0.494444444444445,0.501452081316554,0.5,0.609195402298851
Rumble/Sion (BC/NX),0.352112676056338,0.391566265060241,0.514492753623188,0.447761194029851,0.63265306122449,0.36986301369863,0.401785714285714,0.52,0.535714285714286,0.410526315789474,0.505854800936768,0.629032258064516,0.3984375,0.623931623931624,0.358024691358025,0.517241379310345,0.40453074433657,0.507936507936508,0.470588235294118,0.405940594059406,0.436507936507937,0.51685393258427,0.5,0.416666666666667,0.61849710982659,0.446428571428571,0.423423423423423,0.361581920903955,0.631067961165049,0.50952380952381
Rumble/Vayne (DE/NX),0.4,0.394520547945205,0.365131578947368,0.72,0.720588235294118,0.642857142857143,0.420911528150134,0.56,0.4921875,0.552447552447552,0.479427549194991,0.63768115942029,0.481981981981982,0.587786259541985,0.552238805970149,0.479166666666667,0.490147783251232,0.64406779661017,0.610837438423645,0.386046511627907,0.451086956521739,0.547085201793722,0.583333333333333,0.5,0.515679442508711,0.721804511278195,0.565420560747664,0.450520833333333,0.590643274853801,0.584766584766585
Seraphine/Viktor (PZ/SI),0.497237569060774,0.610114192495922,0.576608187134503,0.431578947368421,0.588235294117647,0.407284768211921,0.658928571428571,0.562162162162162,0.579185520361991,0.45,0.368453865336658,0.442446043165468,0.519047619047619,0.632027257240205,0.447530864197531,0.548571428571429,0.485714285714286,0.529166666666667,0.666011787819253,0.470319634703196,0.434272300469484,0.359447004608295,0.38150289017341,0.484320557491289,0.5,0.558441558441558,0.372759856630824,0.550813008130081,0.356837606837607,0.387234042553192
SunDisc,0.482269503546099,0.217857142857143,0.52233676975945,0.508928571428571,0.290322580645161,0.433070866141732,0.276119402985075,0.410526315789474,0.521276595744681,0.34,0.403508771929825,0.333333333333333,0.308056872037915,0.481818181818182,0.31404958677686,0.36046511627907,0.428571428571429,0.490909090909091,0.637426900584795,0.419753086419753,0.354838709677419,0.355421686746988,0.553571428571429,0.278195488721805,0.441558441558442,0.5,0.375,0.1743264659271,0.449275362318841,0.540540540540541
Taliyah/Ziggs (BC/SH),0.512931034482759,0.392857142857143,0.563934426229508,0.549407114624506,0.542857142857143,0.430894308943089,0.448940269749518,0.547974413646056,0.5,0.461240310077519,0.478991596638655,0.492063492063492,0.485795454545455,0.51844262295082,0.381443298969072,0.47239263803681,0.389162561576355,0.53968253968254,0.591428571428572,0.405487804878049,0.604575163398693,0.505555555555556,0.576576576576577,0.434579439252336,0.627240143369176,0.625,0.5,0.318289786223278,0.555921052631579,0.621776504297994
Teemo/Zoe (BC/MT),0.578800557880056,0.369230769230769,0.370895041854475,0.521545319465082,0.707317073170732,0.591139240506329,0.416575790621592,0.545585068198134,0.583166332665331,0.552042160737813,0.503512880562061,0.4992,0.547486033519553,0.425435276305829,0.390697674418605,0.464444444444444,0.524066576698156,0.763736263736264,0.50510677808728,0.632694248234107,0.548872180451128,0.498547918683446,0.638418079096045,0.549479166666667,0.449186991869919,0.8256735340729,0.681710213776722,0.5,0.68780487804878,0.454768928220256
Trundle Timelines (FR/PZ),0.502415458937198,0.288990825688073,0.528735632183908,0.507772020725389,0.516129032258065,0.541666666666667,0.400523560209424,0.488294314381271,0.661417322834646,0.396825396825397,0.422459893048128,0.506172839506173,0.377431906614786,0.50625,0.330097087378641,0.429906542056075,0.487534626038781,0.485549132947977,0.554006968641115,0.43359375,0.439024390243902,0.5,0.368932038834951,0.409356725146199,0.643162393162393,0.550724637681159,0.444078947368421,0.31219512195122,0.5,0.661448140900196
Trundle/Tryndamere (FR/SI),0.458426966292135,0.55531914893617,0.630109670987039,0.534188034188034,0.451327433628319,0.530266343825666,0.67032967032967,0.553219448094612,0.659722222222222,0.507751937984496,0.421743697478992,0.378151260504202,0.387152777777778,0.556802244039271,0.487244897959184,0.422939068100358,0.48015873015873,0.551181102362205,0.650793650793651,0.363813229571984,0.432809773123909,0.390804597701149,0.49047619047619,0.415233415233415,0.612765957446809,0.45945945945946,0.378223495702006,0.545231071779744,0.338551859099804,0.5
