deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_pretty,archetype_cluster
CQCACBAGBIAQKBQBAMCQURKJUYAQIAQGAQQC2PACAIBAMAQ2AQCQUGUYAGSADRQBAEAQCBAI,"BC,BW",214,04BW010 04BW010 04BW010 05BW001 05BW001 05BW001 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC166 05BC166 05BC166 02BW004 02BW004 02BW004 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 02BW002 02BW002 02BW026 02BW026 05BC026 05BC026 05BC152 05BC152 05BC164 05BC164 05BC198 05BC198 01PZ008,"BC,BW,PZ","Gangplank,Teemo,Twisted Fate","BW,PZ",,04BW010 04BW010 04BW010 05BW001 05BW001 05BW001 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC166 05BC166 05BC166 02BW004 02BW004 02BW004 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 02BW002 02BW002 02BW026 02BW026 05BC026 05BC026 05BC152 05BC152 05BC164 05BC164 05BC198 05BC198 01BC008,"BC,BW","18,22",Gangplank/Teemo/Twisted Fate (BC/BW),,
CQBQCBIGAEBAKCSFJECQEBQEDIQC2PADAECAMCQCAIDAEHYEAUFAOGUYAGTACAQBAIDBEAIFBJQA,"BC,BW",214,05BW001 05BW001 05BW001 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 02BW004 02BW004 02BW004 02BW026 02BW026 02BW026 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 04BW010 04BW010 02BW002 02BW002 02BW031 02BW031 05BC007 05BC007 05BC026 05BC026 05BC152 05BC152 05BC166 05BC166 02BW018 05BC096,"BC,BW","Gangplank,Twisted Fate",BW,,,,"15,25",Gangplank/Twisted Fate (BC/BW),,
CQBQCBAGBICQEBQEDIQC2PAGAUFAOGSFJFQKMAICAEBAMAQBAUDACAA,"BC,BW",214,04BW010 04BW010 04BW010 02BW004 02BW004 02BW004 02BW026 02BW026 02BW026 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 05BC007 05BC007 05BC007 05BC026 05BC026 05BC026 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC096 05BC096 05BC096 05BC166 05BC166 05BC166 02BW002 02BW002 05BW001 05BW001,"BC,BW","Gangplank,Twisted Fate",BW,,,,"18,22",Gangplank/Twisted Fate (BC/BW),,
CQBAIAQGEARC2PAFAUFAOKKFJGTACBABAQDAUAIFBINACBIGAEBQEBQECIPQCAICAYBA,"BC,BW",214,02BW032 02BW032 02BW032 02BW034 02BW034 02BW034 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 05BC007 05BC007 05BC007 05BC041 05BC041 05BC041 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC166 05BC166 05BC166 04BW010 04BW010 05BC026 05BC026 05BW001 05BW001 02BW004 02BW004 02BW018 02BW018 02BW031 02BW031 02BW002,"BC,BW","Gangplank,Poppy","BC,BW",,,,"17,23",Gangplank/Poppy,,
CQCACAYGCEBAEBRGFUBQKBQFBMGQOBIKAQCRUKBJTAA2MAIAAEAQEBRK,"BC,BW",214,03BW017 03BW017 03BW017 02BW038 02BW038 02BW038 02BW045 02BW045 02BW045 05BW005 05BW005 05BW005 05BW011 05BW011 05BW011 05BW013 05BW013 05BW013 05BC004 05BC004 05BC004 05BC005 05BC005 05BC005 05BC026 05BC026 05BC026 05BC040 05BC040 05BC040 05BC041 05BC041 05BC041 05BC152 05BC152 05BC152 05BC166 05BC166 05BC166 02BW042,"BC,BW","Nami,Poppy","BC,BW",,,,"21,19",Nami/Poppy,,
CQBQCBIGAEBQKCQHIVEQMAQGD4QCCLJ2HQBACAQGDIAQKCVGAEBACBAGBICQEBQCAQJBIFQ,"BC,BW",214,05BW001 05BW001 05BW001 05BC007 05BC007 05BC007 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 02BW031 02BW031 02BW031 02BW032 02BW032 02BW032 02BW033 02BW033 02BW033 02BW045 02BW045 02BW045 02BW058 02BW058 02BW058 02BW060 02BW060 02BW060 02BW026 02BW026 05BC166 05BC166 04BW010 02BW002 02BW004 02BW018 02BW020 02BW022,"BC,BW","Gangplank,Miss Fortune,Twisted Fate",BW,,,,"11,29",Gangplank/Miss Fortune/Twisted Fate (BC/BW),,
CQCACAIEBAAQEBQYAECQMAIFAUFCS5FGAGTQDLYBAEDQKCQBMCAQDBABUAA4AAOCAEAQEBIKCLDAC,"BC,BW",214,01PZ008 01PZ008 01PZ008 02BW024 02BW024 02BW024 05BW001 05BW001 05BW001 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC001 05BC001 05BC096 05BC096 05BC129 05BC129 05BC132 05BC132 05BC160 05BC160 05BC192 05BC192 05BC194 05BC194 05BC018 05BC198,"BC,BW,PZ","Poppy,Teemo","BC,PZ",,01BC008 01BC008 01BC008 02BW024 02BW024 02BW024 05BW001 05BW001 05BW001 05BC041 05BC041 05BC041 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 05BC167 05BC167 05BC167 05BC175 05BC175 05BC175 05BC001 05BC001 05BC096 05BC096 05BC129 05BC129 05BC132 05BC132 05BC160 05BC160 05BC192 05BC192 05BC194 05BC194 05BC018 05BC198,"BC,BW","34,6",Poppy/Teemo (BC/BW),,
CQCACBAGBIAQKBQBAQBAMBBAFU6AMBIKDJCUTGABUQA2MAIBAEAQICABAIBAMAQ2,"BC,BW",214,04BW010 04BW010 04BW010 05BW001 05BW001 05BW001 02BW004 02BW004 02BW004 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 05BC026 05BC026 05BC026 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC152 05BC152 05BC152 05BC164 05BC164 05BC164 05BC166 05BC166 05BC166 01PZ008 01PZ008 02BW002 02BW026,"BC,BW,PZ","Gangplank,Teemo,Twisted Fate","BW,PZ",,04BW010 04BW010 04BW010 05BW001 05BW001 05BW001 02BW004 02BW004 02BW004 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW060 02BW060 02BW060 05BC026 05BC026 05BC026 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC152 05BC152 05BC152 05BC164 05BC164 05BC164 05BC166 05BC166 05BC166 01BC008 01BC008 02BW002 02BW026,"BC,BW","20,20",Gangplank/Teemo/Twisted Fate (BC/BW),,
CQBQCAQGBYAQKBQFAUCQUBIHFGQADUIBAMAQKBQLAIBAMEZNAMCQUBA2FABQCAQGFIBAKBQDAYCAKCQBBKKADJQB,"BC,BW",214,02BW014 02BW014 02BW014 05BW005 05BW005 05BW005 05BC005 05BC005 05BC005 05BC007 05BC007 05BC007 05BC041 05BC041 05BC041 05BC160 05BC160 05BC160 05BC209 05BC209 05BC209 05BW011 05BW011 02BW019 02BW019 02BW045 02BW045 05BC004 05BC004 05BC026 05BC026 05BC040 05BC040 02BW042 05BW003 05BW006 05BC001 05BC010 05BC148 05BC166,"BC,BW","Nami,Poppy","BC,BW",,,,"25,15",Nami/Poppy,,
CQCACBAGBIAQKBQBAQBAMGRAFU5AMBIKGFCUSYDUUYAQEAICAYOACBIKAEAA,"BC,BW",214,04BW010 04BW010 04BW010 05BW001 05BW001 05BW001 02BW026 02BW026 02BW026 02BW032 02BW032 02BW032 02BW045 02BW045 02BW045 02BW058 02BW058 02BW058 05BC049 05BC049 05BC049 05BC069 05BC069 05BC069 05BC073 05BC073 05BC073 05BC096 05BC096 05BC096 05BC116 05BC116 05BC116 05BC166 05BC166 05BC166 02BW028 02BW028 05BC001 05BC001,"BC,BW","Gangplank,Twisted Fate",BW,,,,"20,20",Gangplank/Twisted Fate (BC/BW),,
