playerDeck,opponentDeck,muWin,muGames,muWR
Ashe/Katarina/LeBlanc,Draven/Ezreal,6,22,0.272727272727273
Ashe/Katarina/LeBlanc,Maokai/Nautilus,5,11,0.454545454545455
Ashe/Katarina/LeBlanc,Nasus/Thresh,13,24,0.541666666666667
Ashe/LeBlanc,Anivia (FR/SI),7,17,0.411764705882353
Ashe/LeBlanc,Ashe/LeBlanc,55,110,0.5
Ashe/LeBlanc,Aurelion Sol/Jarvan IV/Shyvana,13,19,0.68421052631579
Ashe/LeBlanc,Aurelion Sol/Shyvana,56,71,0.788732394366197
Ashe/LeBlanc,Aurelion Sol/Shyvana/Zoe,233,322,0.72360248447205
Ashe/LeBlanc,Aurelion Sol/Thresh,27,36,0.75
Ashe/LeBlanc,Aurelion Sol/Zoe (DE/MT),6,15,0.4
Ashe/LeBlanc,Azir (NX/SH),8,27,0.296296296296296
Ashe/LeBlanc,Azir/Darius,44,132,0.333333333333333
Ashe/LeBlanc,Azir/Irelia,365,1152,0.316840277777778
Ashe/LeBlanc,Braum/Vladimir,8,13,0.615384615384615
Ashe/LeBlanc,Championless (DE/SI),10,14,0.714285714285714
Ashe/LeBlanc,Championless (FR/SI),5,12,0.416666666666667
Ashe/LeBlanc,Darius (NX/SH),7,14,0.5
Ashe/LeBlanc,Darius/Elise,5,11,0.454545454545455
Ashe/LeBlanc,Darius/Zed,4,11,0.363636363636364
Ashe/LeBlanc,Diana/Nocturne,39,69,0.565217391304348
Ashe/LeBlanc,Diana/Zoe (MT/SI),6,11,0.545454545454545
Ashe/LeBlanc,Draven/Ezreal,206,641,0.321372854914197
Ashe/LeBlanc,Draven/Jinx,69,269,0.256505576208178
Ashe/LeBlanc,Elise (NX/SI),34,110,0.309090909090909
Ashe/LeBlanc,Ezreal/Gangplank,5,11,0.454545454545455
Ashe/LeBlanc,Ezreal/Sejuani/Teemo,9,15,0.6
Ashe/LeBlanc,Ezreal/Swain,9,15,0.6
Ashe/LeBlanc,Ezreal/Teemo (FR/PZ),39,92,0.423913043478261
Ashe/LeBlanc,Fiora (DE/FR),22,31,0.709677419354839
Ashe/LeBlanc,Fizz/Twisted Fate (BW/PZ),16,58,0.275862068965517
Ashe/LeBlanc,Gangplank/Miss Fortune (BW/NX),20,54,0.37037037037037
Ashe/LeBlanc,Gangplank/Sejuani/Twisted Fate,4,11,0.363636363636364
Ashe/LeBlanc,Gangplank/Twisted Fate (BW/SI),4,11,0.363636363636364
Ashe/LeBlanc,Garen/Jarvan IV (DE/FR),5,11,0.454545454545455
Ashe/LeBlanc,Garen/Sivir,5,11,0.454545454545455
Ashe/LeBlanc,Jarvan IV/Shen,26,42,0.619047619047619
Ashe/LeBlanc,LeBlanc/Sivir,14,28,0.5
Ashe/LeBlanc,Lee Sin/Zoe,27,43,0.627906976744186
Ashe/LeBlanc,Leona/Zoe (MT/NX),16,28,0.571428571428571
Ashe/LeBlanc,Lissandra (FR/SH),7,14,0.5
Ashe/LeBlanc,Lissandra/Swain,5,13,0.384615384615385
Ashe/LeBlanc,Lissandra/Taliyah,138,306,0.450980392156863
Ashe/LeBlanc,Lissandra/Taliyah/Zilean,27,40,0.675
Ashe/LeBlanc,Lissandra/Trundle (FR/SI),183,381,0.480314960629921
Ashe/LeBlanc,Malphite/Taliyah,15,34,0.441176470588235
Ashe/LeBlanc,Malphite/Yasuo,11,16,0.6875
Ashe/LeBlanc,Maokai/Nautilus,64,161,0.397515527950311
Ashe/LeBlanc,Nasus/Thresh,416,811,0.512946979038224
Ashe/LeBlanc,Nasus/Zilean (SI/SH),12,26,0.461538461538462
Ashe/LeBlanc,Nautilus (BW/SI),5,13,0.384615384615385
Ashe/LeBlanc,Renekton/Sejuani,16,21,0.761904761904762
Ashe/LeBlanc,Renekton/Sejuani/Sivir,127,224,0.566964285714286
Ashe/LeBlanc,Renekton/Sivir (DE/SH),14,27,0.518518518518519
Ashe/LeBlanc,Sejuani/Swain,8,15,0.533333333333333
Ashe/LeBlanc,Sejuani/Teemo,8,15,0.533333333333333
Ashe/LeBlanc,Sejuani/Tryndamere (FR/NX),9,18,0.5
Ashe/LeBlanc,Shyvana (DE/SI),9,13,0.692307692307692
Ashe/LeBlanc,Shyvana/Zoe,52,65,0.8
Ashe/LeBlanc,Soraka/Tahm Kench,19,33,0.575757575757576
Ashe/LeBlanc,Swain/Twisted Fate,4,12,0.333333333333333
Ashe/LeBlanc,Vi/Zoe,86,210,0.40952380952381
Ashe/LeBlanc,Viktor/Zoe,4,11,0.363636363636364
Ashe/LeBlanc,Zilean/Zoe,10,12,0.833333333333333
Ashe/LeBlanc/Sejuani,Aurelion Sol/Shyvana/Zoe,8,17,0.470588235294118
Ashe/LeBlanc/Sejuani,Azir/Darius,5,14,0.357142857142857
Ashe/LeBlanc/Sejuani,Azir/Irelia,20,62,0.32258064516129
Ashe/LeBlanc/Sejuani,Draven/Ezreal,14,41,0.341463414634146
Ashe/LeBlanc/Sejuani,Draven/Jinx,5,15,0.333333333333333
Ashe/LeBlanc/Sejuani,Lissandra/Taliyah,9,18,0.5
Ashe/LeBlanc/Sejuani,Lissandra/Trundle (FR/SI),15,29,0.517241379310345
Ashe/LeBlanc/Sejuani,Maokai/Nautilus,6,13,0.461538461538462
Ashe/LeBlanc/Sejuani,Nasus/Thresh,24,44,0.545454545454545
Ashe/LeBlanc/Sejuani,Renekton/Sejuani/Sivir,8,13,0.615384615384615
