deck_code,factions,patch,cards,cards.region,champs,champs.region,allegiance,cards.fix,cards.region.fix,cards.region.freq,archetype,archetype_pretty,archetype_cluster,alle,alle.region
CQCACBACB4BQKCRYHK3ACAYFAICBKGQEAEBAQDBSHEBQCAICBYAQEAQKAECQVJQBAEAQGAQU,"BC,IO",221,04IO015 04IO015 04IO015 05BC056 05BC056 05BC056 05BC058 05BC058 05BC058 05BC182 05BC182 05BC182 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 01IO008 01IO008 01IO008 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 01IO014 01IO014 02IO010 02IO010 05BC166 05BC166 03IO020,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,29,Ahri/Kennen,,,01IO050,IO
CQCACBIKHIBAEAQDAUBAKAQECUCACAQLBQZDSAYBAIBAUAQBAIWDCAQDAICQMAYBAMBBIAIFBK2ACAIFAILQ,"BC,IO",221,05BC058 05BC058 05BC058 02IO003 02IO003 02IO003 02IO005 02IO005 02IO005 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 01IO057 01IO057 01IO057 02IO010 02IO010 01IO044 01IO044 01IO049 01IO049 03IO005 03IO005 03IO006 03IO006 03IO020 05BC180 05IO023,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,36,Ahri/Kennen,,,01IO050,IO
CQCACBIKHIBAKAQECUBQCAQLBQZAGAQCAMCQQBABAEBDCAICAIFAEAYCAUKAEBIKGGMACAIBAIBAS,"BC,IO",221,05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 02IO003 02IO003 02IO003 02IO005 02IO005 02IO005 02IO008 02IO008 02IO008 01IO049 01IO049 02IO010 02IO010 03IO005 03IO005 03IO020 03IO020 05BC049 05BC049 05BC152 05BC152 02IO009,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,33,Ahri/Kennen,,,01IO050,IO
CQCAEAQCAMFAEBIKHKTACAQFAICBKAYBAIDAYMQDAIAQECZZAIBAECAJAIBQEBIUAEAQCARR,"BC,IO",221,02IO003 02IO003 02IO003 02IO010 02IO010 02IO010 05BC058 05BC058 05BC058 05BC166 05BC166 05BC166 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 01IO006 01IO006 01IO006 01IO012 01IO012 01IO012 01IO050 01IO050 01IO050 01IO011 01IO011 01IO057 01IO057 02IO008 02IO008 02IO009 02IO009 03IO005 03IO005 03IO020 03IO020 01IO049,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCAEAYCAUKAEBIKAE5AEBICAQNAKAICBAFQYLBSAMAQEAQKAECAEDYBAUBBKAIBAEBAE,"BC,IO",221,03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05BC001 05BC001 05BC001 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO026 05IO026 05IO026 01IO008 01IO008 01IO008 01IO011 01IO011 01IO011 01IO012 01IO012 01IO012 01IO044 01IO044 01IO044 01IO050 01IO050 01IO050 02IO010 02IO010 04IO015 04IO015 05IO021 05IO021 01IO002,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCAEAYCAUKAEBIKAQ5AIAICAIGCCMIEAUBAIFIYDIAQEAICEUZAA,"BC,IO",221,03IO005 03IO005 03IO005 03IO020 03IO020 03IO020 05BC004 05BC004 05BC004 05BC058 05BC058 05BC058 01IO002 01IO002 01IO002 01IO012 01IO012 01IO012 01IO033 01IO033 01IO033 01IO049 01IO049 01IO049 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO024 05IO024 05IO024 05IO026 05IO026 05IO026 01IO037 01IO037 01IO050 01IO050,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050",,,34,Ahri/Kennen,,,01IO050,IO
CQCQCAICBAAQEAQFAEBQEBICAUFDU7YCAUBAIFIFAEBAECQBAMBBIAIFAIBQEBIKWUA3MAIEAEBAYLBRGIAQCBICC4,"BC,IO",221,01IO008 01IO008 01IO008 02IO005 02IO005 02IO005 03IO005 03IO005 03IO005 05BC058 05BC058 05BC058 05BC127 05BC127 05BC127 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 02IO010 02IO010 03IO020 03IO020 05IO003 05IO003 05BC181 05BC181 05BC182 05BC182 01IO012 01IO012 01IO044 01IO044 01IO049 01IO049 01IO050 01IO050 05IO023,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050",,,30,Ahri/Kennen,,,01IO050,IO
CQCQCAICBQAQEAQKAECAEDYCAUFDQOQDAUBAIFI2AQAQGAQUAICQVNAB2IAQEBICAMDQGAICFQYTEAA,"BC,IO",221,01IO012 01IO012 01IO012 02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05BC056 05BC056 05BC056 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 05IO026 05IO026 05IO026 03IO020 03IO020 05BC180 05BC180 05BC210 05BC210 05IO003 05IO003 05IO007 05IO007 01IO044 01IO044 01IO049 01IO049 01IO050 01IO050,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050",,,30,Ahri/Kennen,,,01IO050,IO
CQCQCAICGIAQEAQKAEBQEBIBAUFDUAQFAICBKBACAIBAGCACAUFDQPYCAUBAGFYFAEBAWDBMGE4QA,"BC,IO",221,01IO050 01IO050 01IO050 02IO010 02IO010 02IO010 03IO005 03IO005 03IO005 05BC058 05BC058 05BC058 05IO004 05IO004 05IO004 05IO021 05IO021 05IO021 02IO003 02IO003 02IO008 02IO008 05BC056 05BC056 05BC063 05BC063 05IO003 05IO003 05IO023 05IO023 01IO011 01IO011 01IO012 01IO012 01IO044 01IO044 01IO049 01IO049 01IO057 01IO057,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,33,Ahri/Kennen,,,01IO050,IO
CQCQCAICGIAQEAQKAECAEDYBAUBAIAQFBICDUBIBAMBAKAIFBIYQEAQCAUEAEBICCUNAGAICBAGDSAYBAMBBIAIFBLJACAQBAIBDC,"BC,IO",221,01IO050 01IO050 01IO050 02IO010 02IO010 02IO010 04IO015 04IO015 04IO015 05IO004 05IO004 05IO004 05BC004 05BC004 05BC004 05BC058 05BC058 05BC058 03IO005 03IO005 05BC049 05BC049 02IO005 02IO005 02IO008 02IO008 05IO021 05IO021 05IO026 05IO026 01IO008 01IO008 01IO012 01IO012 01IO057 01IO057 03IO020 05BC210 01IO002 01IO049,IO,"Ahri,Kennen","BC,IO","01IO050,01IO050,01IO050",,,31,Ahri/Kennen,,,01IO050,IO
