player,opponent,muWin,muGames,muWR,factions,okCI,direction,CI,playrate
Akshan / Renekton (NX/SH),Lulu / Zed (DE/IO),7,16,0.4375,"Noxus,Shurima",FALSE,NEG,(19.8%-70.1%),0.000275686791408038
Akshan / Renekton (NX/SH),Pyke / Rek'Sai,7,11,0.636363636363636,"Noxus,Shurima",FALSE,POS,(30.8%-89.1%),0.000275686791408038
Akshan / Riven,Akshan / Lee Sin,43,109,0.394495412844037,"Noxus,Shurima",TRUE,NEG,(30.2%-49.3%),0.00313549355034893
Akshan / Riven,Akshan / Riven,9,18,0.5,"Noxus,Shurima",FALSE,NEG,(26.0%-74.0%),0.00313549355034893
Akshan / Riven,Akshan / Sivir (DE/SH),17,52,0.326923076923077,"Noxus,Shurima",TRUE,NEG,(20.3%-47.1%),0.00313549355034893
Akshan / Riven,Akshan / Sivir (IO/SH),27,89,0.303370786516854,"Noxus,Shurima",TRUE,NEG,(21.0%-41.0%),0.00313549355034893
Akshan / Riven,Akshan / Sivir / Zed,17,52,0.326923076923077,"Noxus,Shurima",TRUE,NEG,(20.3%-47.1%),0.00313549355034893
Akshan / Riven,Anivia (FR/SI),31,44,0.704545454545455,"Noxus,Shurima",TRUE,POS,(54.8%-83.2%),0.00313549355034893
Akshan / Riven,Azir / Irelia,70,165,0.424242424242424,"Noxus,Shurima",FALSE,NEG,(34.8%-50.3%),0.00313549355034893
Akshan / Riven,Draven / Ezreal,51,107,0.476635514018692,"Noxus,Shurima",FALSE,NEG,(37.9%-57.5%),0.00313549355034893
Akshan / Riven,Draven / Fizz,2,11,0.181818181818182,"Noxus,Shurima",FALSE,NEG,(2.3%-51.8%),0.00313549355034893
Akshan / Riven,Draven / Jinx,31,99,0.313131313131313,"Noxus,Shurima",TRUE,NEG,(22.4%-41.4%),0.00313549355034893
Akshan / Riven,Draven / Riven (NX/PZ),5,13,0.384615384615385,"Noxus,Shurima",FALSE,NEG,(13.9%-68.4%),0.00313549355034893
Akshan / Riven,Ekko / Zilean,19,23,0.826086956521739,"Noxus,Shurima",TRUE,POS,(61.2%-95.0%),0.00313549355034893
Akshan / Riven,Ezreal / Karma,27,42,0.642857142857143,"Noxus,Shurima",FALSE,POS,(48.0%-78.4%),0.00313549355034893
Akshan / Riven,Ezreal / Teemo (FR/PZ),8,19,0.421052631578947,"Noxus,Shurima",FALSE,NEG,(20.3%-66.5%),0.00313549355034893
Akshan / Riven,Fiora / Shen,9,21,0.428571428571429,"Noxus,Shurima",FALSE,NEG,(21.8%-66.0%),0.00313549355034893
Akshan / Riven,Gangplank / Miss Fortune (BW/NX),43,98,0.438775510204082,"Noxus,Shurima",FALSE,NEG,(33.9%-54.3%),0.00313549355034893
Akshan / Riven,Gangplank / Sejuani,88,176,0.5,"Noxus,Shurima",FALSE,NEG,(42.4%-57.6%),0.00313549355034893
Akshan / Riven,GoHard,13,21,0.619047619047619,"Noxus,Shurima",FALSE,POS,(38.4%-81.9%),0.00313549355034893
Akshan / Riven,Jarvan IV / Shen,32,73,0.438356164383562,"Noxus,Shurima",FALSE,NEG,(32.2%-55.9%),0.00313549355034893
Akshan / Riven,Jinx / Lulu,18,44,0.409090909090909,"Noxus,Shurima",FALSE,NEG,(26.3%-56.8%),0.00313549355034893
Akshan / Riven,Karma / Thresh,21,24,0.875,"Noxus,Shurima",TRUE,POS,(67.6%-97.3%),0.00313549355034893
Akshan / Riven,LeBlanc / Sivir,4,23,0.173913043478261,"Noxus,Shurima",TRUE,NEG,(5.0%-38.8%),0.00313549355034893
