playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Kennen (IO/SI),Pyke/Rek'Sai,4,12,0.333333333333333
Ahri/Kennen (IO/SI),Riven/Viktor,10,27,0.37037037037037
Ahri/Kennen (IO/SI),SunDisc,32,83,0.385542168674699
Ahri/Kennen (IO/SI),Taliyah/Ziggs,8,15,0.533333333333333
Ahri/Kennen (IO/SI),Tri-Beam (NX/PZ),10,28,0.357142857142857
Ahri/Kennen (IO/SI),Trundle/Tryndamere (FR/SI),5,11,0.454545454545455
Ahri/Kennen (IO/SI),Vi/Viktor (PZ/SI),9,13,0.692307692307692
Ahri/Kennen/Yuumi (IO/MT),SunDisc,7,10,0.7
Ahri/Lulu (BW/IO),Miss Fortune/Quinn,3,12,0.25
Ahri/Lulu (BW/IO),Riven/Viktor,6,12,0.5
Ahri/Lulu (BW/IO),SunDisc,17,27,0.62962962962963
Ahri/Lulu (BW/IO),Taliyah/Ziggs,3,13,0.230769230769231
Ahri/Lulu (BW/IO),Tri-Beam (NX/PZ),2,11,0.181818181818182
Ahri/Lulu (IO/PZ),Akshan/Sivir (DE/SH),8,18,0.444444444444444
Ahri/Lulu (IO/PZ),Aphelios/Viktor,18,36,0.5
Ahri/Lulu (IO/PZ),Aurelion Sol/Trundle,9,11,0.818181818181818
Ahri/Lulu (IO/PZ),Aurelion Sol/Zoe (FR/MT),18,40,0.45
Ahri/Lulu (IO/PZ),Azir/Irelia,17,31,0.548387096774194
Ahri/Lulu (IO/PZ),Caitlyn/Teemo (BC/PZ),11,16,0.6875
Ahri/Lulu (IO/PZ),Darius/Gnar (FR/NX),6,14,0.428571428571429
Ahri/Lulu (IO/PZ),Draven/Rumble (NX/PZ),7,11,0.636363636363636
Ahri/Lulu (IO/PZ),Ekko/Zilean,11,19,0.578947368421053
Ahri/Lulu (IO/PZ),Elise (NX/SI),15,27,0.555555555555556
Ahri/Lulu (IO/PZ),Fizz/Lulu (BC/PZ),17,34,0.5
Ahri/Lulu (IO/PZ),Gangplank/Miss Fortune (BW/NX),4,10,0.4
Ahri/Lulu (IO/PZ),Gangplank/Miss Fortune/Twisted Fate (BW/NX),24,38,0.631578947368421
Ahri/Lulu (IO/PZ),Gangplank/Sejuani,5,13,0.384615384615385
Ahri/Lulu (IO/PZ),Gnar/Ziggs (BC/NX),4,10,0.4
Ahri/Lulu (IO/PZ),Lee Sin/Viktor,6,12,0.5
Ahri/Lulu (IO/PZ),Miss Fortune/Quinn,14,34,0.411764705882353
Ahri/Lulu (IO/PZ),Pantheon/Yuumi (DE/MT),16,31,0.516129032258065
Ahri/Lulu (IO/PZ),Pyke/Rek'Sai,10,17,0.588235294117647
Ahri/Lulu (IO/PZ),Riven/Viktor,51,85,0.6
Ahri/Lulu (IO/PZ),Senna/Veigar,7,17,0.411764705882353
Ahri/Lulu (IO/PZ),Sentinel Control,4,11,0.363636363636364
Ahri/Lulu (IO/PZ),SunDisc,84,178,0.471910112359551
Ahri/Lulu (IO/PZ),Taliyah/Ziggs,19,41,0.463414634146342
Ahri/Lulu (IO/PZ),Tri-Beam (NX/PZ),24,76,0.315789473684211
Ahri/Lulu (IO/PZ),Trundle/Tryndamere (FR/SI),8,28,0.285714285714286
Ahri/Lulu (IO/PZ),Vi/Viktor (PZ/SI),8,16,0.5
