archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Evelynn/Kai'Sa (RU/SH),Karma/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0242249108782543,0.00213352057902128
Karma/Trundle (FR/IO),Evelynn/Kai'Sa (RU/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00213352057902128,0.0242249108782543
Trundle/Tryndamere (FR/IO),Lissandra/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0072647726045155,0.00299773144647294
Lissandra/Trundle (FR/IO),Trundle/Tryndamere (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00299773144647294,0.0072647726045155
Annie/Twisted Fate (BW/NX),Lissandra/Trundle (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00145835583882467,0.00299773144647294
Lissandra/Trundle (FR/IO),Annie/Twisted Fate (BW/NX),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00299773144647294,0.00145835583882467
Gwen/Quinn (DE/SI),Ezreal/Seraphine (BC/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00623852219941666,0.00629253537863239
Ezreal/Seraphine (BC/PZ),Gwen/Quinn (DE/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00629253537863239,0.00623852219941666
Karma/Master Yi (FR/IO),Ezreal/Karma (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0092362536458896,0.00259263260235497
Ezreal/Karma (IO/PZ),Karma/Master Yi (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00259263260235497,0.0092362536458896
Akshan/Varus (SH/RU),Jax/Ornn (FR/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0136383277519715,0.00777789780706493
Jax/Ornn (FR/RU),Akshan/Varus (SH/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00777789780706493,0.0136383277519715
Malphite/Taliyah (MT/SH),Garen/Jarvan IV (DE),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000945230636275251,0.0552554823376904
Garen/Jarvan IV (DE),Malphite/Taliyah (MT/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0552554823376904,0.000945230636275251
Karma/Seraphine (IO/PZ),Akshan/Varus (SH/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000756184509020201,0.0136383277519715
Akshan/Varus (SH/RU),Karma/Seraphine (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0136383277519715,0.000756184509020201
Ryze (IO/RU),Ezreal/Seraphine (PZ/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0336232040617911,0.00102625040509884
Ezreal/Seraphine (PZ/SI),Ryze (IO/RU),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00102625040509884,0.0336232040617911
Azir/Irelia (IO/SH),Senna/Veigar (BC/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0109646753807929,0.00561737063843578
Senna/Veigar (BC/SI),Azir/Irelia (IO/SH),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00561737063843578,0.0109646753807929
Fizz/Zoe (BC/MT),Aphelios/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.000297072485686508,0.0076428648590256
Aphelios/Zoe (BC/MT),Fizz/Zoe (BC/MT),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0076428648590256,0.000297072485686508
Ezreal/Karma (IO/PZ),Evelynn/Viego (RU/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.00259263260235497,0.0206600410500162
Evelynn/Viego (RU/SI),Ezreal/Karma (IO/PZ),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0206600410500162,0.00259263260235497
Gwen/Katarina (NX/SI),Karma/Master Yi (FR/IO),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0065085880954953,0.0092362536458896
Karma/Master Yi (FR/IO),Gwen/Katarina (NX/SI),1,2,0.5,(1.3% - 98.7%),FALSE,TIE,No,0.0092362536458896,0.0065085880954953
