archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Jax/Norra (BC/RU),Taliyah/Ziggs (BC/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.000390502967822555,0.00950223888368218
Taliyah/Ziggs (BC/SH),Jax/Norra (BC/RU),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00950223888368218,0.000390502967822555
Nami/Seraphine (BW/PZ),Miss Fortune/Twisted Fate (BW/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00291575549307508,0.0487608039154431
Miss Fortune/Twisted Fate (BW/NX),Nami/Seraphine (BW/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0487608039154431,0.00291575549307508
Kindred/Nasus (SI/SH),Kalista/Nocturne (NX/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0049203373945642,0.0313964386129335
Kalista/Nocturne (NX/SI),Kindred/Nasus (SI/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0313964386129335,0.0049203373945642
Jax/Sivir (RU/SH),Norra/Swain (BC/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00710715401437051,0.0229615745079663
Norra/Swain (BC/NX),Jax/Sivir (RU/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0229615745079663,0.00710715401437051
Katarina/Leona (MT/NX),Katarina/Leona (MT/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,Yes,0.00822659585546183,0.00822659585546183
Kindred/Viego (FR/SI),Teemo/Tristana (BC/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.000885140060397792,0.0413933145891909
Teemo/Tristana (BC/SI),Kindred/Viego (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0413933145891909,0.000885140060397792
Heimerdinger/Norra (BC/SI),Heimerdinger/Norra (BC/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,Yes,0.00757575757575758,0.00757575757575758
Elise/Twisted Fate (BW/SI),Ryze (IO/RU),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00072893887326877,0.0786472977194627
Ryze (IO/RU),Elise/Twisted Fate (BW/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0786472977194627,0.00072893887326877
Kayle/Zed (IO/MT),Teemo/Tristana (BC/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0141101739039883,0.00559720920545663
Teemo/Tristana (BC/NX),Kayle/Zed (IO/MT),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00559720920545663,0.0141101739039883
Annie/Twisted Fate (BW/NX),Trundle/Tryndamere (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00382692908466104,0.015281682807456
Trundle/Tryndamere (FR/SI),Annie/Twisted Fate (BW/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.015281682807456,0.00382692908466104
Illaoi/Twisted Fate (BW/IO),Aphelios/Leona (MT/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0174424658960741,0.00463396855149432
Aphelios/Leona (MT/SI),Illaoi/Twisted Fate (BW/IO),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00463396855149432,0.0174424658960741
Annie/Ezreal (NX/PZ),Tristana (BC/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.016349057586171,0.00708112048318234
Tristana (BC/NX),Annie/Ezreal (NX/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00708112048318234,0.016349057586171
Ryze (IO/RU),Elise/Jayce (PZ/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0786472977194627,0.00341039258565032
Elise/Jayce (PZ/SI),Ryze (IO/RU),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00341039258565032,0.0786472977194627
Lissandra/Trundle (FR/SI),Gnar/Tristana (BC/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00190044777673644,0.0363167760074977
Gnar/Tristana (BC/NX),Lissandra/Trundle (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0363167760074977,0.00190044777673644
Master Yi/Ryze (IO/RU),Swain/Twisted Fate (BW/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00593564511090284,0.0134853691554723
Swain/Twisted Fate (BW/NX),Master Yi/Ryze (IO/RU),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0134853691554723,0.00593564511090284
