deck,nBan,maxBan,factions,nWin,nGames,WR,n,playrate,meanBan,lplayrate,lWR,PR_ind,WR_ind,lWR_ind,meanBan_ind,WIN_ind,str_dim,LMI,tooltip,tooltip_mini,tier
Maokai/Nautilus,21,78,"faction_Bilgewater_Name,faction_ShadowIsles_Name",38,116,0.327586206896552,21,0.011070110701107,0.269230769230769,0.00411582885960631,0.41699604743083,0.490196078431373,0.0392156862745098,0.0784313725490196,0.431372549019608,0.0196078431372549,0.156862745098039,0.215686274509804,"Maokai/Nautilus
LMI 21.6
WinRate 32.8%
PlayRate 1.1%
BanRate 26.9%","Maokai/Nautilus
LMI 21.6",Tier3
Akshan/Lee Sin,35,105,"faction_Ionia_Name,faction_Shurima_Name",59,115,0.51304347826087,20,0.0105429625724829,0.333333333333333,0.00244834878802668,0.511627906976744,0.470588235294118,0.627450980392157,0.647058823529412,0.627450980392157,0.666666666666667,0.686274509803922,0.647058823529412,"Akshan/Lee Sin
LMI 64.7
WinRate 51.3%
PlayRate 1.1%
BanRate 33.3%","Akshan/Lee Sin
LMI 64.7",Tier2
Taliyah/Ziggs (BC/SH),10,72,"faction_BandleCity_Name,faction_Shurima_Name",49,106,0.462264150943396,19,0.0100158144438587,0.138888888888889,0.00505937855864649,0.445337620578778,0.441176470588235,0.392156862745098,0.156862745098039,0.0196078431372549,0.264705882352941,0.0588235294117647,0.127450980392157,"Taliyah/Ziggs (BC/SH)
LMI 12.7
WinRate 46.2%
PlayRate 1.0%
BanRate 13.9%","Taliyah/Ziggs (BC/SH)
LMI 12.7",Tier3
Thresh/Viego (IO/SI),38,102,"faction_Ionia_Name,faction_ShadowIsles_Name",53,88,0.602272727272727,19,0.0100158144438587,0.372549019607843,0.00591345371726045,0.441540577716644,0.441176470588235,0.92156862745098,0.137254901960784,0.764705882352941,0.470588235294118,0.627450980392157,0.57843137254902,"Thresh/Viego (IO/SI)
LMI 57.8
WinRate 60.2%
PlayRate 1.0%
BanRate 37.3%","Thresh/Viego (IO/SI)
LMI 57.8",Tier3
Riven/Vi,14,72,"faction_Noxus_Name,faction_Piltover_Name",46,87,0.528735632183908,14,0.00738007380073801,0.194444444444444,0.00826419391573125,0.518700787401575,0.264705882352941,0.745098039215686,0.705882352941177,0.156862745098039,0.764705882352941,0.431372549019608,0.284313725490196,"Riven/Vi
LMI 28.4
WinRate 52.9%
PlayRate 0.7%
BanRate 19.4%","Riven/Vi
LMI 28.4",Tier3
Xerath/Zilean (BC/SH),13,57,"faction_BandleCity_Name,faction_Shurima_Name",35,86,0.406976744186047,18,0.00948866631523458,0.228070175438597,0.004099560761347,0.357142857142857,0.411764705882353,0.215686274509804,0.0196078431372549,0.254901960784314,0.0588235294117647,0.0882352941176471,0.127450980392157,"Xerath/Zilean (BC/SH)
LMI 12.7
WinRate 40.7%
PlayRate 0.9%
BanRate 22.8%","Xerath/Zilean (BC/SH)
LMI 12.7",Tier3
Poppy/Teemo (BC/DE),28,77,"faction_BandleCity_Name,faction_Demacia_Name",41,85,0.482352941176471,15,0.00790722192936215,0.363636363636364,0.00402635431918009,0.553535353535354,0.303921568627451,0.470588235294118,0.941176470588235,0.715686274509804,0.735294117647059,0.764705882352941,0.57843137254902,"Poppy/Teemo (BC/DE)
LMI 57.8
WinRate 48.2%
PlayRate 0.8%
BanRate 36.4%","Poppy/Teemo (BC/DE)
LMI 57.8",Tier3
Caitlyn/Teemo (BC/PZ),11,56,"faction_BandleCity_Name,faction_Piltover_Name",33,84,0.392857142857143,17,0.00896151818661044,0.196428571428571,0.0140068326012689,0.436120789779326,0.392156862745098,0.117647058823529,0.0980392156862745,0.176470588235294,0.0392156862745098,0.0392156862745098,0.0980392156862745,"Caitlyn/Teemo (BC/PZ)
LMI 9.8
WinRate 39.3%
PlayRate 0.9%
BanRate 19.6%","Caitlyn/Teemo (BC/PZ)
LMI 9.8",Tier3
Sivir/Tristana (BC/SH),16,65,"faction_BandleCity_Name,faction_Shurima_Name",39,82,0.475609756097561,13,0.00685292567211386,0.246153846153846,0.00482349113388645,0.489038785834739,0.225490196078431,0.450980392156863,0.411764705882353,0.352941176470588,0.411764705882353,0.362745098039216,0.176470588235294,"Sivir/Tristana (BC/SH)
LMI 17.6
WinRate 47.6%
PlayRate 0.7%
BanRate 24.6%","Sivir/Tristana (BC/SH)
LMI 17.6",Tier3
Azir/Irelia,10,54,"faction_Ionia_Name,faction_Shurima_Name",32,80,0.4,22,0.0115972588297312,0.185185185185185,0.00226939970717423,0.455197132616488,0.509803921568627,0.166666666666667,0.254901960784314,0.117647058823529,0.196078431372549,0.0882352941176471,0.196078431372549,"Azir/Irelia
LMI 19.6
WinRate 40.0%
PlayRate 1.2%
BanRate 18.5%","Azir/Irelia
LMI 19.6",Tier3
Heimerdinger/Zoe (BC/MT),15,61,"faction_BandleCity_Name,faction_MtTargon_Name",30,77,0.38961038961039,16,0.00843437005798629,0.245901639344262,0.00341630063445583,0.452380952380952,0.352941176470588,0.0784313725490196,0.235294117647059,0.333333333333333,0.156862745098039,0.176470588235294,0.156862745098039,"Heimerdinger/Zoe (BC/MT)
LMI 15.7
WinRate 39.0%
PlayRate 0.8%
BanRate 24.6%","Heimerdinger/Zoe (BC/MT)
LMI 15.7",Tier3
Fizz/Lee Sin (BC/IO),14,65,"faction_BandleCity_Name,faction_Ionia_Name",39,73,0.534246575342466,16,0.00843437005798629,0.215384615384615,0.00392061168049455,0.49792531120332,0.352941176470588,0.784313725490196,0.450980392156863,0.235294117647059,0.598039215686275,0.392156862745098,0.323529411764706,"Fizz/Lee Sin (BC/IO)
LMI 32.4
WinRate 53.4%
PlayRate 0.8%
BanRate 21.5%","Fizz/Lee Sin (BC/IO)
LMI 32.4",Tier3
Lulu/Poppy (DE/IO),22,68,"faction_Demacia_Name,faction_Ionia_Name",40,61,0.655737704918033,14,0.00738007380073801,0.323529411764706,0.00548234911338865,0.532640949554896,0.264705882352941,0.96078431372549,0.803921568627451,0.588235294117647,0.96078431372549,0.872549019607843,0.627450980392157,"Lulu/Poppy (DE/IO)
LMI 62.7
WinRate 65.6%
PlayRate 0.7%
BanRate 32.4%","Lulu/Poppy (DE/IO)
LMI 62.7",Tier2
Elise/Senna (PZ/SI),19,63,"faction_Piltover_Name,faction_ShadowIsles_Name",30,59,0.508474576271186,12,0.00632577754348972,0.301587301587302,0.00531966813079551,0.513761467889908,0.196078431372549,0.588235294117647,0.666666666666667,0.549019607843137,0.637254901960784,0.607843137254902,0.352941176470588,"Elise/Senna (PZ/SI)
LMI 35.3
WinRate 50.8%
PlayRate 0.6%
BanRate 30.2%","Elise/Senna (PZ/SI)
LMI 35.3",Tier3
Nami/Tahm Kench (BW/MT),13,53,"faction_Bilgewater_Name,faction_MtTargon_Name",36,55,0.654545454545455,11,0.00579862941486558,0.245283018867925,0.00176508866113551,0.548387096774194,0.166666666666667,0.941176470588235,0.92156862745098,0.313725490196078,0.980392156862745,0.686274509803922,0.431372549019608,"Nami/Tahm Kench (BW/MT)
LMI 43.1
WinRate 65.5%
PlayRate 0.6%
BanRate 24.5%","Nami/Tahm Kench (BW/MT)
LMI 43.1",Tier3
Sejuani/Swain,5,35,"faction_Freljord_Name,faction_Noxus_Name",21,54,0.388888888888889,10,0.00527148128624143,0.142857142857143,0.000455506751260778,0.446428571428571,0.117647058823529,0.0588235294117647,0.196078431372549,0.0392156862745098,0.0882352941176471,0.0196078431372549,0.0196078431372549,"Sejuani/Swain
LMI 2
WinRate 38.9%
PlayRate 0.5%
BanRate 14.3%","Sejuani/Swain
LMI 2",Tier3
Fizz/Poppy/Teemo (BC/NX),28,63,"faction_BandleCity_Name,faction_Noxus_Name",30,53,0.566037735849057,15,0.00790722192936215,0.444444444444444,0.00288758744102814,0.526760563380282,0.303921568627451,0.882352941176471,0.784313725490196,0.980392156862745,0.882352941176471,0.980392156862745,0.725490196078431,"Fizz/Poppy/Teemo (BC/NX)
LMI 72.5
WinRate 56.6%
PlayRate 0.8%
BanRate 44.4%","Fizz/Poppy/Teemo (BC/NX)
LMI 72.5",Tier2
Anivia (FR/SI),18,46,"faction_Freljord_Name,faction_ShadowIsles_Name",21,51,0.411764705882353,13,0.00685292567211386,0.391304347826087,0.00251342118106393,0.362459546925566,0.225490196078431,0.235294117647059,0.0392156862745098,0.823529411764706,0.117647058823529,0.470588235294118,0.284313725490196,"Anivia (FR/SI)
LMI 28.4
WinRate 41.2%
PlayRate 0.7%
BanRate 39.1%","Anivia (FR/SI)
LMI 28.4",Tier3
Swain/Twisted Fate,15,35,"faction_Bilgewater_Name,faction_Noxus_Name",15,48,0.3125,16,0.00843437005798629,0.428571428571429,0.00148853099072718,0.459016393442623,0.352941176470588,0.0196078431372549,0.274509803921569,0.96078431372549,0.137254901960784,0.588235294117647,0.509803921568627,"Swain/Twisted Fate
LMI 51
WinRate 31.2%
PlayRate 0.8%
BanRate 42.9%","Swain/Twisted Fate
LMI 51",Tier3
Fizz/Lulu/Poppy (BC/PZ),14,53,"faction_BandleCity_Name,faction_Piltover_Name",37,47,0.787234042553192,9,0.00474433315761729,0.264150943396226,0.0013909224011713,0.60233918128655,0.0686274509803922,1,1,0.411764705882353,1,0.745098039215686,0.372549019607843,"Fizz/Lulu/Poppy (BC/PZ)
LMI 37.3
WinRate 78.7%
PlayRate 0.5%
BanRate 26.4%","Fizz/Lulu/Poppy (BC/PZ)
LMI 37.3",Tier3
Draven/Ezreal,7,29,"faction_Noxus_Name,faction_Piltover_Name",18,46,0.391304347826087,8,0.00421718502899315,0.241379310344828,0.00222872946152595,0.489051094890511,0.0294117647058824,0.0980392156862745,0.431372549019608,0.294117647058824,0.225490196078431,0.235294117647059,0.0392156862745098,"Draven/Ezreal
LMI 3.9
WinRate 39.1%
PlayRate 0.4%
BanRate 24.1%","Draven/Ezreal
LMI 3.9",Tier3
Caitlyn/Draven/Ezreal,16,44,"faction_Noxus_Name,faction_Piltover_Name",20,45,0.444444444444444,10,0.00527148128624143,0.363636363636364,0.000683260126891166,0.5,0.117647058823529,0.294117647058824,0.5,0.715686274509804,0.372549019607843,0.568627450980392,0.254901960784314,"Caitlyn/Draven/Ezreal
LMI 25.5
WinRate 44.4%
PlayRate 0.5%
BanRate 36.4%","Caitlyn/Draven/Ezreal
LMI 25.5",Tier3
Lee Sin/Zed (IO/MT),14,50,"faction_Ionia_Name,faction_MtTargon_Name",30,45,0.666666666666667,8,0.00421718502899315,0.28,0.000178949080852448,0.5,0.0294117647058824,0.980392156862745,0.5,0.490196078431373,0.784313725490196,0.647058823529412,0.235294117647059,"Lee Sin/Zed (IO/MT)
LMI 23.5
WinRate 66.7%
PlayRate 0.4%
BanRate 28.0%","Lee Sin/Zed (IO/MT)
LMI 23.5",Tier3
Nasus/Thresh,7,40,"faction_ShadowIsles_Name,faction_Shurima_Name",23,42,0.547619047619048,11,0.00579862941486558,0.175,0.00274117455669432,0.409495548961424,0.166666666666667,0.823529411764706,0.0588235294117647,0.0588235294117647,0.431372549019608,0.196078431372549,0.0784313725490196,"Nasus/Thresh
LMI 7.8
WinRate 54.8%
PlayRate 0.6%
BanRate 17.5%","Nasus/Thresh
LMI 7.8",Tier3
Elise (NX/SI),8,29,"faction_Noxus_Name,faction_ShadowIsles_Name",16,40,0.4,9,0.00474433315761729,0.275862068965517,0.00148853099072718,0.448087431693989,0.0686274509803922,0.166666666666667,0.215686274509804,0.450980392156863,0.176470588235294,0.254901960784314,0.0588235294117647,"Elise (NX/SI)
LMI 5.9
WinRate 40.0%
PlayRate 0.5%
BanRate 27.6%","Elise (NX/SI)
LMI 5.9",Tier3
Poppy/Taric (DE/MT),14,36,"faction_Demacia_Name,faction_MtTargon_Name",20,40,0.5,10,0.00527148128624143,0.388888888888889,0.00377419879616073,0.525862068965517,0.117647058823529,0.529411764705882,0.764705882352941,0.803921568627451,0.686274509803922,0.803921568627451,0.470588235294118,"Poppy/Taric (DE/MT)
LMI 47.1
WinRate 50.0%
PlayRate 0.5%
BanRate 38.9%","Poppy/Taric (DE/MT)
LMI 47.1",Tier3
